scenario,population,replicate,social_mode,unique_policy_count,policy_entropy,policy_hamming_mean,visibility_gini,max_visibility_degree,policy_low_scarce,policy_low_moderate,policy_low_abundant
uniform_high,8,0,none,4,0.6352130207431889,0.36904761904761907,nan,nan,0.375,0.0,0.5
patchy_high,8,0,none,4,0.603759374819711,0.3809523809523809,nan,nan,0.5,0.0,0.5
