scenario,population,replicate,social_mode,strategy,evaluation_mode,time,low_extraction_rate,collective_order,action_entropy,mean_resource_fraction,total_resource,mean_reserve_welfare,mean_need_satisfaction,deprivation_rate,mean_metabolic_shortfall,mean_energy,wealth_gini,mean_wealth,mean_social_low_fraction
uniform_high,8,0,none,random_50,fresh_reset,80,0.625,0.25,0.954434002924965,0.6396045561013178,47.97034170759884,0.998,1.0,0.0,0.0,0.998,0.04899393605292213,0.9070000000000005,nan
uniform_high,8,0,none,random_50,fresh_reset,100,0.375,0.25,0.954434002924965,0.647947240668608,48.596043050145596,0.998,1.0,0.0,0.0,0.998,0.04041311180960938,1.1135000000000006,nan
patchy_high,8,0,none,q_learning,continuation,1,0.25,0.5,0.8112781244591328,0.6260580346575594,46.9426773402639,0.998,1.0,0.0,0.0,0.998,0.133414227468323,4.290492695234059,nan
patchy_high,8,0,none,q_learning,continuation,20,0.125,0.75,0.5435644431995964,0.6255165822822933,46.90279647897495,0.998,1.0,0.0,0.0,0.998,0.13534632840578653,4.567067182857699,nan
patchy_high,8,0,none,q_learning,continuation,40,0.125,0.75,0.5435644431995964,0.6252387768665794,46.88328629674106,0.998,1.0,0.0,0.0,0.998,0.13745382988586186,4.856595943659684,nan
patchy_high,8,0,none,q_learning,continuation,60,0.0,1.0,0.0,0.6248205747044541,46.8543401359457,0.998,1.0,0.0,0.0,0.998,0.13890401198151037,5.148146506599341,nan
patchy_high,8,0,none,q_learning,continuation,80,0.125,0.75,0.5435644431995964,0.6249861632793077,46.86695662505144,0.998,1.0,0.0,0.0,0.998,0.14074072096211587,5.435071680726058,nan
patchy_high,8,0,none,q_learning,continuation,100,0.125,0.75,0.5435644431995964,0.6249545945135716,46.864779314641524,0.998,1.0,0.0,0.0,0.998,0.14229448473962925,5.724176419775867,nan
patchy_high,8,0,none,q_learning,fresh_reset,1,0.0,1.0,0.0,0.5029929434468479,37.71714316745042,0.998,1.0,0.0,0.0,0.998,0.0,0.02,nan
patchy_high,8,0,none,q_learning,fresh_reset,20,0.375,0.25,0.954434002924965,0.5523279943799507,41.37178873314054,0.998,1.0,0.0,0.0,0.998,0.10256640344580048,0.34825000000000006,nan
patchy_high,8,0,none,q_learning,fresh_reset,40,0.25,0.5,0.8112781244591328,0.5843190589597304,43.79788377538762,0.998,1.0,0.0,0.0,0.998,0.13836138190886382,0.653528986584915,nan
patchy_high,8,0,none,q_learning,fresh_reset,60,0.25,0.5,0.8112781244591328,0.6035321592923084,45.245829514640924,0.998,1.0,0.0,0.0,0.998,0.15199611682023106,0.9353991835968023,nan
patchy_high,8,0,none,q_learning,fresh_reset,80,0.375,0.25,0.954434002924965,0.6139533454329453,46.03629852925943,0.998,1.0,0.0,0.0,0.998,0.15819647837741124,1.2176291052652437,nan
patchy_high,8,0,none,q_learning,fresh_reset,100,0.0,1.0,0.0,0.6188328672252137,46.40452889182936,0.998,1.0,0.0,0.0,0.998,0.1579732005880834,1.5084597124675825,nan
patchy_high,8,0,none,always_low,fresh_reset,1,1.0,1.0,0.0,0.5049048222871511,37.859237431674494,0.998,1.0,0.0,0.0,0.998,0.0,0.002,nan
patchy_high,8,0,none,always_low,fresh_reset,20,1.0,1.0,0.0,0.5826324126945177,43.57992855084692,0.998,1.0,0.0,0.0,0.998,0.0,0.04000000000000002,nan
patchy_high,8,0,none,always_low,fresh_reset,40,1.0,1.0,0.0,0.6344574894408944,47.42092031919346,0.998,1.0,0.0,0.0,0.998,0.0,0.08000000000000006,nan
patchy_high,8,0,none,always_low,fresh_reset,60,1.0,1.0,0.0,0.6637289398108416,49.59962369476951,0.998,1.0,0.0,0.0,0.998,0.0,0.12000000000000009,nan
patchy_high,8,0,none,always_low,fresh_reset,80,1.0,1.0,0.0,0.6792967398064497,50.76141889132623,0.998,1.0,0.0,0.0,0.998,0.0,0.16000000000000011,nan
patchy_high,8,0,none,always_low,fresh_reset,100,1.0,1.0,0.0,0.687312609330129,51.36067587625041,0.998,1.0,0.0,0.0,0.998,0.0,0.20000000000000015,nan
patchy_high,8,0,none,always_high,fresh_reset,1,0.0,1.0,0.0,0.5029929434468479,37.71714316745042,0.998,1.0,0.0,0.0,0.998,0.0,0.02,nan
patchy_high,8,0,none,always_high,fresh_reset,20,0.0,1.0,0.0,0.5470629507884153,40.947665682700006,0.998,1.0,0.0,0.0,0.998,0.0,0.4000000000000001,nan
patchy_high,8,0,none,always_high,fresh_reset,40,0.0,1.0,0.0,0.5713447821493493,42.76544488515211,0.998,1.0,0.0,0.0,0.998,0.020994060853929408,0.7762987202584798,nan
patchy_high,8,0,none,always_high,fresh_reset,60,0.0,1.0,0.0,0.586155860101452,43.86607270995427,0.998,1.0,0.0,0.0,0.998,0.05730967723397762,1.104723987674629,nan
patchy_high,8,0,none,always_high,fresh_reset,80,0.0,1.0,0.0,0.5943955671068438,44.48204352983289,0.998,1.0,0.0,0.0,0.998,0.07972505330908453,1.4239238006281583,nan
patchy_high,8,0,none,always_high,fresh_reset,100,0.0,1.0,0.0,0.5988405426843582,44.81641943863292,0.998,1.0,0.0,0.0,0.998,0.09416904455855413,1.7424279788879384,nan
patchy_high,8,0,none,random_50,fresh_reset,1,0.625,0.25,0.954434002924965,0.5041208039403232,37.80596012570957,0.998,1.0,0.0,0.0,0.998,0.4821428571428572,0.008749999999999999,nan
patchy_high,8,0,none,random_50,fresh_reset,20,0.75,0.5,0.8112781244591328,0.5653536659267897,42.30046150945751,0.998,1.0,0.0,0.0,0.998,0.16787305122494423,0.22450000000000003,nan
patchy_high,8,0,none,random_50,fresh_reset,40,0.5,0.0,1.0,0.6036602161493096,45.13630008474313,0.998,1.0,0.0,0.0,0.998,0.08672376873661691,0.46700000000000014,nan
patchy_high,8,0,none,random_50,fresh_reset,60,0.375,0.25,0.954434002924965,0.6267413764125933,46.85831356816125,0.998,1.0,0.0,0.0,0.998,0.04447769314472261,0.6892500000000004,nan
patchy_high,8,0,none,random_50,fresh_reset,80,0.625,0.25,0.954434002924965,0.6401200206309828,47.865222929995234,0.998,1.0,0.0,0.0,0.998,0.04899393605292213,0.9070000000000005,nan
patchy_high,8,0,none,random_50,fresh_reset,100,0.375,0.25,0.954434002924965,0.6482628323549195,48.47560762910608,0.998,1.0,0.0,0.0,0.998,0.04041311180960938,1.1135000000000006,nan
