heterogeneity,recovery_rate,resource_gini,capacity_gini,resource_fraction
0.0,0.02,4.440892098500626e-16,2.220446049250313e-16,0.6999999999999971
0.25,0.02,0.021519272697351655,0.033188206867457604,0.7005220448535887
0.5,0.02,0.04355714660125054,0.06637641373491565,0.7022445071941011
0.75,0.02,0.06642675316138424,0.09956462060237303,0.7056003079244785
1.0,0.02,0.09485314029714087,0.13275282746983086,0.7047637929879704
0.0,0.05,0.0,2.220446049250313e-16,0.6999999999999987
0.25,0.05,0.026399513511564443,0.033188206867457604,0.7004053472527321
0.5,0.05,0.053074390561397955,0.06637641373491565,0.7017444372692477
0.75,0.05,0.08019173935976376,0.09956462060237303,0.704351042882612
1.0,0.05,0.10827865532266645,0.13275282746983086,0.7085786185424727
0.0,0.1,0.0,2.220446049250313e-16,0.6999999999999996
0.25,0.1,0.029034673767839747,0.033188206867457604,0.7002886968708358
0.5,0.1,0.058196112073083395,0.06637641373491565,0.7012480188146941
0.75,0.1,0.08756864164294309,0.09956462060237303,0.7031285696856835
1.0,0.1,0.11729244489359947,0.13275282746983086,0.7065104605889503
