mean_capacity,equilibrium_fraction,mean_resource,resource_fraction
0.3,0.3,0.08939006778594759,0.302372503417982
0.3,0.5,0.1493731913608924,0.5034944328264611
0.3,0.7,0.20939009945797937,0.704351042882612
0.3,0.9,0.2685673937197648,0.9007033978836263
0.5,0.3,0.14898344630991273,0.3023725034179822
0.5,0.5,0.24895531893482065,0.5034944328264611
0.5,0.7,0.3489834990966323,0.704351042882612
0.5,0.9,0.44761232286627467,0.9007033978836264
0.7,0.3,0.20975882592602388,0.3003724632285336
0.7,0.5,0.3497530405329779,0.5005492092437288
0.7,0.7,0.4897607287385485,0.700682538953533
0.7,0.9,0.6297722253734286,0.9007873774070173
0.9,0.3,0.26997979942008093,0.30002373232709934
0.9,0.5,0.44997934936153533,0.5000349837252211
0.9,0.7,0.6299800263829721,0.7000434237475923
0.9,0.9,0.8099810131622042,0.9000500294910799
