environment,abundance,inequality,recovery,mean_capacity,equilibrium_fraction,recovery_rate,heterogeneity,time,mean_resource,resource_fraction,resource_gini,capacity_gini,resource_cv,scarcity_fraction
A,High,Low,Fast,0.6,0.85,0.1,0.0,5000,0.5099999999999995,0.8499999999999989,0.0,2.220446049250313e-16,2.176907891421878e-16,0.0
B,High,High,Fast,0.6,0.85,0.1,0.8,5000,0.5094545466279321,0.8539655714287897,0.09520161564820806,0.10620226197586491,0.16930442891923636,0.0
C,Low,Low,Fast,0.6,0.35,0.1,0.0,5000,0.21000000000000044,0.35000000000000064,0.0,2.220446049250313e-16,1.3216940769347074e-16,0.0
D,Low,High,Fast,0.6,0.35,0.1,0.8,5000,0.20929679971777268,0.35253927798399604,0.08568919202838976,0.10620226197586491,0.15177186933737372,0.0
E,High,Low,Slow,0.6,0.85,0.02,0.0,5000,0.5099999999999966,0.8499999999999944,4.440892098500626e-16,2.220446049250313e-16,2.1769078914218903e-16,0.0
F,Low,High,Slow,0.6,0.35,0.02,0.8,5000,0.20706472451806981,0.35342878077228007,0.057384520818975604,0.10620226197586491,0.10211726000172082,0.0
G,High,High,Slow,0.6,0.85,0.02,0.8,5000,0.5009505666853921,0.8446863060620327,0.08181698218447764,0.10620226197586491,0.14681640812534644,0.0
H,Low,Low,Slow,0.6,0.35,0.02,0.0,5000,0.2100000000000019,0.3500000000000032,4.440892098500626e-16,2.220446049250313e-16,2.643388153869396e-16,0.0
