replicate,scenario,family,family_label,abundance,mean_capacity,population,window_mean_wealth_gini,window_mean_welfare,final_wealth_gini,final_mean_energy
1,decentralized_high,decentralized,Decentralized,high,0.75,32,0.1489389809885527,0.0,0.1477916671999726,0.0
1,fragmented_high,fragmented,Fragmented,high,0.75,4,0.023836627303489333,0.19807585920522322,0.021398485998000094,0.20537493327170875
1,fragmented_high,fragmented,Fragmented,high,0.75,8,0.03260129723237755,0.18086084904820016,0.03577030239954526,0.21142703220491274
1,fragmented_high,fragmented,Fragmented,high,0.75,16,0.050021753573448,0.05819589385250746,0.04771637313274324,0.05675216881291516
1,fragmented_high,fragmented,Fragmented,high,0.75,32,0.15235620262653757,1.5816048958930645e-07,0.15107770822800393,0.0
1,uniform_low,uniform,Uniform,low,0.35,4,0.023913043919376497,0.0388848099418993,0.02077534653266322,0.049501802892822404
1,uniform_low,uniform,Uniform,low,0.35,8,0.03586643269854472,0.02602457121914731,0.034015406386272984,0.04362434557406998
1,uniform_low,uniform,Uniform,low,0.35,16,0.05159279315588598,0.006493268340501798,0.04873205737203423,0.0059731575723055074
1,uniform_low,uniform,Uniform,low,0.35,32,0.15574213128285855,0.0,0.15392884272559293,0.0
1,weak_patchy_low,weak_patchy,Weak patchy,low,0.35,4,0.025213133895603403,0.03913262973900106,0.022970049933404235,0.04916232688046617
1,weak_patchy_low,weak_patchy,Weak patchy,low,0.35,8,0.03541483873728777,0.026593571438906977,0.033302658755812065,0.04430738902165464
1,weak_patchy_low,weak_patchy,Weak patchy,low,0.35,16,0.05251085748361076,0.006751023554222548,0.049228038345898284,0.006223021025153282
1,weak_patchy_low,weak_patchy,Weak patchy,low,0.35,32,0.15792000343652646,0.0,0.15614605037772233,0.0
1,patchy_low,patchy,Patchy,low,0.35,4,0.025434200192469572,0.0377960516730059,0.023197997051912278,0.04712123466187346
1,patchy_low,patchy,Patchy,low,0.35,8,0.037955610812484164,0.02522514415496636,0.0360119450860088,0.04654138615281128
1,patchy_low,patchy,Patchy,low,0.35,16,0.05324376865091859,0.0065349470556832915,0.05003389304931094,0.007060883011802545
1,patchy_low,patchy,Patchy,low,0.35,32,0.16033597777341632,0.0,0.15840798791713717,0.0
