scenario,population,replicate,social_mode,rewiring,time,visibility_gini,max_visibility_share,zero_visibility_fraction,population_low_fraction,visible_low_fraction,mean_perception_error,signed_perception_bias,majority_mismatch_rate,degree_action_correlation,mean_prediction_error,edge_turnover,rewires_since_record,cumulative_rewires,global_rewire_fraction,requested_global_fraction,local_fallbacks
uniform_high,8,0,fixed,none,0,0.203125,0.21875,0.0,nan,nan,nan,nan,nan,nan,nan,0.0,0,0,0.0,0.0,0
uniform_high,8,0,fixed,none,1,0.203125,0.21875,0.0,0.5,0.53125,0.15625,0.03125000000000003,0.2,-0.16666666666666666,0.15625,0.0,0,0,0.0,0.0,0
uniform_high,8,0,fixed,none,50,0.203125,0.21875,0.0,0.0,0.0,0.0,0.0,0.0,nan,0.07933109239342823,0.0,0,0,0.0,0.0,0
uniform_high,8,0,fixed,none,100,0.203125,0.21875,0.0,0.25,0.21875,0.13839285714285715,-0.031249999999999986,0.0,0.19245008972987526,0.20211042504473037,0.0,0,0,0.0,0.0,0
uniform_high,8,0,fixed,none,150,0.203125,0.21875,0.0,0.125,0.125,0.10714285714285715,6.938893903907228e-18,0.0,0.0,0.16282654109198136,0.0,0,0,0.0,0.0,0
uniform_high,8,0,fixed,none,200,0.203125,0.21875,0.0,0.125,0.09375,0.11160714285714285,-0.031249999999999993,0.0,0.2519763153394848,0.14198736236896325,0.0,0,0,0.0,0.0,0
uniform_high,8,0,fixed,none,250,0.203125,0.21875,0.0,0.125,0.09375,0.11160714285714285,-0.031249999999999993,0.0,0.2519763153394848,0.09506471502773568,0.0,0,0,0.0,0.0,0
uniform_high,8,0,fixed,none,300,0.203125,0.21875,0.0,0.0,0.0,0.0,0.0,0.0,nan,0.0653077998497942,0.0,0,0,0.0,0.0,0
patchy_high,8,0,fixed,none,0,0.203125,0.21875,0.0,nan,nan,nan,nan,nan,nan,nan,0.0,0,0,0.0,0.0,0
patchy_high,8,0,fixed,none,1,0.203125,0.21875,0.0,0.5,0.53125,0.15625,0.03125000000000003,0.2,-0.16666666666666666,0.15625,0.0,0,0,0.0,0.0,0
patchy_high,8,0,fixed,none,50,0.203125,0.21875,0.0,0.125,0.0625,0.11607142857142858,-0.06249999999999999,0.0,0.5039526306789696,0.13044068208119036,0.0,0,0,0.0,0.0,0
patchy_high,8,0,fixed,none,100,0.203125,0.21875,0.0,0.375,0.28125,0.22767857142857142,-0.09374999999999997,0.14285714285714285,0.5163977794943223,0.2051734957722035,0.0,0,0,0.0,0.0,0
patchy_high,8,0,fixed,none,150,0.203125,0.21875,0.0,0.25,0.1875,0.14285714285714285,-0.062499999999999986,0.0,0.3849001794597505,0.1542304837847835,0.0,0,0,0.0,0.0,0
patchy_high,8,0,fixed,none,200,0.203125,0.21875,0.0,0.25,0.25,0.13392857142857142,1.3877787807814457e-17,0.0,0.0,0.25098859595584455,0.0,0,0,0.0,0.0,0
patchy_high,8,0,fixed,none,250,0.203125,0.21875,0.0,0.25,0.1875,0.08928571428571427,-0.062499999999999986,0.0,0.3849001794597505,0.14902114463255403,0.0,0,0,0.0,0.0,0
patchy_high,8,0,fixed,none,300,0.203125,0.21875,0.0,0.125,0.15625,0.10267857142857142,0.03125000000000001,0.0,-0.2519763153394848,0.12249263821188172,0.0,0,0,0.0,0.0,0
