scenario,population,replicate,social_mode,rewiring,strategy,evaluation_mode,time,low_extraction_rate,collective_order,action_entropy,mean_resource_fraction,total_resource,mean_reserve_welfare,mean_need_satisfaction,deprivation_rate,mean_metabolic_shortfall,mean_energy,wealth_gini,mean_wealth,mean_social_low_fraction,visibility_gini,max_visibility_share,zero_visibility_fraction,social_perception_error,signed_perception_bias,majority_mismatch_rate,degree_action_correlation
uniform_high,8,0,fixed,none,always_high,fresh_reset,20,0.0,1.0,0.0,0.5461200991142932,40.95900743357199,0.998,1.0,0.0,0.0,0.998,0.0,0.4000000000000001,0.0,0.203125,0.21875,0.0,0.0,0.0,0.0,nan
uniform_high,8,0,fixed,none,always_high,fresh_reset,40,0.0,1.0,0.0,0.5696748368055369,42.72561276041527,0.998,1.0,0.0,0.0,0.998,0.009004271081980875,0.7898344628870008,0.0,0.203125,0.21875,0.0,0.0,0.0,0.0,nan
uniform_high,8,0,fixed,none,always_high,fresh_reset,60,0.0,1.0,0.0,0.5829186660256668,43.718899951925,0.998,1.0,0.0,0.0,0.998,0.03737588259112967,1.1338586932972938,0.0,0.203125,0.21875,0.0,0.0,0.0,0.0,nan
uniform_high,8,0,fixed,none,always_high,fresh_reset,80,0.0,1.0,0.0,0.5904932412297114,44.28699309222836,0.998,1.0,0.0,0.0,0.998,0.05586830644318197,1.45977584872819,0.0,0.203125,0.21875,0.0,0.0,0.0,0.0,nan
uniform_high,8,0,fixed,none,always_high,fresh_reset,100,0.0,1.0,0.0,0.5945955099834472,44.59466324875853,0.998,1.0,0.0,0.0,0.998,0.06879543660428533,1.7833981985685803,0.0,0.203125,0.21875,0.0,0.0,0.0,0.0,nan
uniform_high,8,0,fixed,none,random_50,fresh_reset,1,0.625,0.25,0.954434002924965,0.5040795751111112,37.80596813333332,0.998,1.0,0.0,0.0,0.998,0.4821428571428572,0.008749999999999999,0.53125,0.203125,0.21875,0.0,0.14732142857142855,-0.09374999999999999,0.3333333333333333,0.5163977794943223
uniform_high,8,0,fixed,none,random_50,fresh_reset,20,0.75,0.5,0.8112781244591328,0.5641601252181876,42.31200939136407,0.998,1.0,0.0,0.0,0.998,0.16787305122494423,0.22450000000000003,0.6875,0.203125,0.21875,0.0,0.125,-0.0625,0.0,0.3849001794597505
uniform_high,8,0,fixed,none,random_50,fresh_reset,40,0.5,0.0,1.0,0.6024064856588504,45.180486424413765,0.998,1.0,0.0,0.0,0.998,0.08672376873661691,0.46700000000000014,0.5,0.203125,0.21875,0.0,0.1875,2.7755575615628914e-17,0.2,0.0
uniform_high,8,0,fixed,none,random_50,fresh_reset,60,0.375,0.25,0.954434002924965,0.6258599224126611,46.93949418094959,0.998,1.0,0.0,0.0,0.998,0.04447769314472261,0.6892500000000004,0.46875,0.203125,0.21875,0.0,0.1473214285714286,0.09375000000000003,0.3333333333333333,-0.5163977794943223
uniform_high,8,0,fixed,none,random_50,fresh_reset,80,0.625,0.25,0.954434002924965,0.6396045561013178,47.97034170759884,0.998,1.0,0.0,0.0,0.998,0.04899393605292213,0.9070000000000005,0.6875,0.203125,0.21875,0.0,0.11607142857142856,0.06250000000000001,0.0,-0.34426518632954817
uniform_high,8,0,fixed,none,random_50,fresh_reset,100,0.375,0.25,0.954434002924965,0.647947240668608,48.596043050145596,0.998,1.0,0.0,0.0,0.998,0.04041311180960938,1.1135000000000006,0.3125,0.203125,0.21875,0.0,0.11607142857142858,-0.06249999999999998,0.0,0.34426518632954817
patchy_high,8,0,fixed,none,q_learning,continuation,1,0.25,0.5,0.8112781244591328,0.6217660508548147,46.57595992524284,0.998,1.0,0.0,0.0,0.998,0.11748042368530243,4.252361870321473,0.15625,0.203125,0.21875,0.0,0.17410714285714285,-0.09374999999999999,0.0,0.5773502691896258
patchy_high,8,0,fixed,none,q_learning,continuation,20,0.25,0.5,0.8112781244591328,0.6203266831781891,46.482507521138686,0.998,1.0,0.0,0.0,0.998,0.11996990103181893,4.530433893100663,0.15625,0.203125,0.21875,0.0,0.17410714285714285,-0.09374999999999999,0.0,0.5773502691896258
patchy_high,8,0,fixed,none,q_learning,continuation,40,0.25,0.5,0.8112781244591328,0.6202724606045041,46.47755503759157,0.998,1.0,0.0,0.0,0.998,0.12269162768360364,4.811740039998137,0.15625,0.203125,0.21875,0.0,0.17410714285714285,-0.09374999999999999,0.0,0.5773502691896258
patchy_high,8,0,fixed,none,q_learning,continuation,60,0.25,0.5,0.8112781244591328,0.6210853934502447,46.526244013361094,0.998,1.0,0.0,0.0,0.998,0.12539509456981146,5.089865558603474,0.15625,0.203125,0.21875,0.0,0.17410714285714285,-0.09374999999999999,0.0,0.5773502691896258
patchy_high,8,0,fixed,none,q_learning,continuation,80,0.25,0.5,0.8112781244591328,0.6214783158930003,46.55045840461955,0.998,1.0,0.0,0.0,0.998,0.12803522520735822,5.37132893073678,0.15625,0.203125,0.21875,0.0,0.17410714285714285,-0.09374999999999999,0.0,0.5773502691896258
patchy_high,8,0,fixed,none,q_learning,continuation,100,0.125,0.75,0.5435644431995964,0.6218755960362283,46.567970277627666,0.998,1.0,0.0,0.0,0.998,0.1301133509095116,5.653567437271164,0.15625,0.203125,0.21875,0.0,0.10267857142857142,0.03125000000000001,0.0,-0.2519763153394848
