scenario,population,replicate,social_mode,rewiring,strategy,evaluation_mode,time,low_extraction_rate,collective_order,action_entropy,mean_resource_fraction,total_resource,mean_reserve_welfare,mean_need_satisfaction,deprivation_rate,mean_metabolic_shortfall,mean_energy,wealth_gini,mean_wealth,mean_social_low_fraction,visibility_gini,max_visibility_share,zero_visibility_fraction,social_perception_error,signed_perception_bias,majority_mismatch_rate,degree_action_correlation
uniform_high,8,0,fixed,random,q_learning,continuation,1,0.125,0.75,0.5435644431995964,0.6044955161617335,45.33716371213001,0.998,1.0,0.0,0.0,0.998,0.09655435018705472,7.9687163869728135,0.15625,0.2578125,0.21875,0.0,0.10267857142857142,0.03125000000000001,0.0,-0.20203050891044214
uniform_high,8,0,fixed,random,q_learning,continuation,20,0.0,1.0,0.0,0.6019860836790576,45.14895627592933,0.998,1.0,0.0,0.0,0.998,0.09723108172604933,8.294750280568312,0.0,0.2578125,0.21875,0.0,0.0,0.0,0.0,nan
uniform_high,8,0,fixed,random,q_learning,continuation,40,0.0,1.0,0.0,0.6008814324321183,45.06610743240888,0.998,1.0,0.0,0.0,0.998,0.09830521978919604,8.622604663858356,0.0,0.2578125,0.21875,0.0,0.0,0.0,0.0,nan
uniform_high,8,0,fixed,random,q_learning,continuation,60,0.0,1.0,0.0,0.6002178299959572,45.01633724969679,0.998,1.0,0.0,0.0,0.998,0.09937700732311905,8.948830126161933,0.0,0.2578125,0.21875,0.0,0.0,0.0,0.0,nan
uniform_high,8,0,fixed,random,q_learning,continuation,80,0.0,1.0,0.0,0.5998231476032329,44.98673607024246,0.998,1.0,0.0,0.0,0.998,0.10040959336570632,9.274335915639583,0.0,0.2578125,0.21875,0.0,0.0,0.0,0.0,nan
uniform_high,8,0,fixed,random,q_learning,continuation,100,0.0,1.0,0.0,0.5995907301012957,44.96930475759718,0.998,1.0,0.0,0.0,0.998,0.10139037958959451,9.599482407232546,0.0,0.2578125,0.21875,0.0,0.0,0.0,0.0,nan
uniform_high,8,0,fixed,random,q_learning,fresh_reset,1,0.125,0.75,0.5435644431995964,0.5031318631111111,37.734889733333326,0.998,1.0,0.0,0.0,0.998,0.1109154929577465,0.017750000000000002,0.0625,0.2578125,0.21875,0.0,0.11607142857142858,-0.06249999999999999,0.0,0.40406101782088427
uniform_high,8,0,fixed,random,q_learning,fresh_reset,20,0.125,0.75,0.5435644431995964,0.5509242368053062,41.31931776039796,0.998,1.0,0.0,0.0,0.998,0.10933098591549273,0.3550000000000001,0.15625,0.2578125,0.21875,0.0,0.10267857142857142,0.03125000000000001,0.0,-0.20203050891044214
uniform_high,8,0,fixed,random,q_learning,fresh_reset,40,0.125,0.75,0.5435644431995964,0.5784127712305445,43.38095784229084,0.998,1.0,0.0,0.0,0.998,0.11497036484032663,0.7045890278491145,0.15625,0.2578125,0.21875,0.0,0.10267857142857142,0.03125000000000001,0.0,-0.20203050891044214
uniform_high,8,0,fixed,random,q_learning,fresh_reset,60,0.125,0.75,0.5435644431995964,0.5937115953556288,44.52836965167216,0.998,1.0,0.0,0.0,0.998,0.14131519329908415,1.014767138949479,0.15625,0.2578125,0.21875,0.0,0.10267857142857142,0.03125000000000001,0.0,-0.20203050891044214
