scenario,population,replicate,social_mode,rewiring,time,low_extraction_rate,collective_order,action_entropy,mean_resource_fraction,total_resource,mean_reserve_welfare,mean_need_satisfaction,deprivation_rate,mean_metabolic_shortfall,mean_energy,wealth_gini,mean_wealth,mean_social_low_fraction,visibility_gini,max_visibility_share,zero_visibility_fraction,social_perception_error,signed_perception_bias,majority_mismatch_rate,degree_action_correlation,mean_epsilon
uniform_high,8,0,fixed,random,1,0.5,0.0,1.0,0.5038427591111112,37.78820693333333,0.998,1.0,0.0,0.0,0.998,0.40909090909090917,0.011,0.53125,0.203125,0.21875,0.0,0.15625,0.03125000000000003,0.2,-0.16666666666666666,0.19990000000000002
uniform_high,8,0,fixed,random,20,0.25,0.5,0.8112781244591328,0.5604098972728802,42.03074229546601,0.998,1.0,0.0,0.0,0.998,0.16194817658349336,0.26049999999999995,0.3125,0.203125,0.21875,0.0,0.125,0.06250000000000001,0.0,-0.3849001794597505,0.19800947156046594
uniform_high,8,0,fixed,random,40,0.0,1.0,0.0,0.5899532526363404,44.24649394772552,0.998,1.0,0.0,0.0,0.998,0.10529089376053968,0.5930000000000002,0.0,0.203125,0.21875,0.0,0.0,0.0,0.0,nan,0.19603875413827485
uniform_high,8,0,fixed,random,60,0.25,0.5,0.8112781244591328,0.6007050178832549,45.052876341244115,0.998,1.0,0.0,0.0,0.998,0.06914105562018036,0.9493741517538206,0.3125,0.21875,0.21875,0.0,0.125,0.06250000000000001,0.0,-0.3651483716701107,0.1940876505614596
uniform_high,8,0,fixed,random,80,0.25,0.5,0.8112781244591328,0.6037067278228739,45.27800458671554,0.998,1.0,0.0,0.0,0.998,0.05771107732421332,1.295422327671341,0.28125,0.21875,0.21875,0.0,0.07589285714285714,0.031250000000000014,0.0,-0.18257418583505536,0.19215596562043488
uniform_high,8,0,fixed,random,100,0.25,0.5,0.8112781244591328,0.6047165672676911,45.35374254507683,0.998,1.0,0.0,0.0,0.998,0.0610534601933157,1.6239003180281726,0.28125,0.21875,0.21875,0.0,0.15625,0.031250000000000014,0.0,-0.18257418583505536,0.19024350604846688
uniform_high,8,0,fixed,random,120,0.0,1.0,0.0,0.6074894391967406,45.56170793975555,0.998,1.0,0.0,0.0,0.998,0.06449720202156173,1.9228772456043233,0.0,0.21875,0.21875,0.0,0.0,0.0,0.0,nan,0.18835008050233615
uniform_high,8,0,fixed,random,140,0.0,1.0,0.0,0.6046503825302114,45.34877868976585,0.998,1.0,0.0,0.0,0.998,0.07060167691635222,2.2612412527576318,0.0,0.21875,0.21875,0.0,0.0,0.0,0.0,nan,0.186475499543194
uniform_high,8,0,fixed,random,160,0.0,1.0,0.0,0.6057616114358972,45.432120857692276,0.998,1.0,0.0,0.0,0.998,0.0765532046907691,2.564465842817606,0.0,0.21875,0.21875,0.0,0.0,0.0,0.0,nan,0.1846195756176088
uniform_high,8,0,fixed,random,180,0.25,0.5,0.8112781244591328,0.6058121543125596,45.43591157344197,0.998,1.0,0.0,0.0,0.998,0.07917617941753519,2.876588479214652,0.375,0.21875,0.21875,0.0,0.14285714285714285,0.125,0.0,-0.7302967433402214,0.18278212303880104
uniform_high,8,0,fixed,random,200,0.125,0.75,0.5435644431995964,0.6055140232919984,45.413551746899884,0.998,1.0,0.0,0.0,0.998,0.07994534538366427,3.1927251144815894,0.0625,0.21875,0.21875,0.0,0.11607142857142858,-0.06249999999999999,0.0,0.4780914437337574,0.1809629579680653
uniform_high,8,0,fixed,random,220,0.0,1.0,0.0,0.6065139413797257,45.48854560347942,0.998,1.0,0.0,0.0,0.998,0.08254518884930206,3.495970333998393,0.0,0.21875,0.21875,0.0,0.0,0.0,0.0,nan,0.1791618983963771
uniform_high,8,0,fixed,random,240,0.0,1.0,0.0,0.6050484423290936,45.37863317468202,0.998,1.0,0.0,0.0,0.998,0.08290679684499147,3.8203232162531506,0.0,0.21875,0.21875,0.0,0.0,0.0,0.0,nan,0.1773787641261826
uniform_high,8,0,fixed,random,260,0.0,1.0,0.0,0.604222900211466,45.31671751585995,0.998,1.0,0.0,0.0,0.998,0.08477870979680446,4.140108408284529,0.0,0.2265625,0.21875,0.0,0.0,0.0,0.0,nan,0.17561337675336977
uniform_high,8,0,fixed,random,280,0.125,0.75,0.5435644431995964,0.6026471861655008,45.19853896241256,0.998,1.0,0.0,0.0,0.998,0.08694860965046103,4.466907744419423,0.15625,0.2265625,0.21875,0.0,0.10267857142857142,0.03125000000000001,0.0,-0.22792115291927587,0.1738655596494188
uniform_high,8,0,fixed,random,300,0.0,1.0,0.0,0.6015616941478674,45.11712706109005,0.998,1.0,0.0,0.0,0.998,0.08878736430180756,4.7928726570142945,0.0,0.2265625,0.21875,0.0,0.0,0.0,0.0,nan,0.17213513794373045
uniform_high,8,0,fixed,random,320,0.25,0.5,0.8112781244591328,0.6042798554443949,45.320989158329624,0.998,1.0,0.0,0.0,0.998,0.08881887373664932,5.087967150453558,0.21875,0.2265625,0.21875,0.0,0.16517857142857142,-0.031249999999999986,0.0,0.17407765595569785,0.17042193850612988
uniform_high,8,0,fixed,random,340,0.125,0.75,0.5435644431995964,0.6046918821709935,45.3518911628245,0.998,1.0,0.0,0.0,0.998,0.08970759324912403,5.4031447050292485,0.15625,0.2265625,0.21875,0.0,0.10267857142857142,0.03125000000000001,0.0,-0.22792115291927587,0.168725789929545
uniform_high,8,0,fixed,random,360,0.25,0.5,0.8112781244591328,0.6040822669065333,45.30617001798999,0.998,1.0,0.0,0.0,0.998,0.0908995640396364,5.724975778302988,0.25,0.2265625,0.21875,0.0,0.08035714285714285,1.3877787807814457e-17,0.0,0.0,0.16704652251285695
uniform_high,8,0,fixed,random,380,0.0,1.0,0.0,0.603654601192122,45.274095089409144,0.998,1.0,0.0,0.0,0.998,0.09210419260480207,6.046585117800483,0.0,0.2265625,0.21875,0.0,0.0,0.0,0.0,nan,0.1653839682439214
uniform_high,8,0,fixed,random,400,0.25,0.5,0.8112781244591328,0.603153540874141,45.236515565560566,0.998,1.0,0.0,0.0,0.998,0.09369592174563479,6.366228716486428,0.25,0.2265625,0.21875,0.0,0.13392857142857142,1.3877787807814457e-17,0.0,0.0,0.1637379607827588
uniform_high,8,0,fixed,random,420,0.25,0.5,0.8112781244591328,0.6019729967855696,45.14797475891772,0.998,1.0,0.0,0.0,0.998,0.09499294720716844,6.694487218197622,0.3125,0.2265625,0.21875,0.0,0.125,0.06250000000000001,0.0,-0.3481553119113957,0.1621083354449118
uniform_high,8,0,fixed,random,440,0.0,1.0,0.0,0.6016062750819535,45.12047063114651,0.998,1.0,0.0,0.0,0.998,0.09598605194142662,7.016710254113999,0.0,0.2265625,0.21875,0.0,0.0,0.0,0.0,nan,0.16049492918496863
uniform_high,8,0,fixed,random,460,0.0,1.0,0.0,0.601437757504683,45.107831812851224,0.998,1.0,0.0,0.0,0.998,0.0965461523032094,7.338429525648831,0.0,0.2578125,0.21875,0.0,0.0,0.0,0.0,nan,0.15889758058025016
uniform_high,8,0,fixed,random,480,0.125,0.75,0.5435644431995964,0.602291335311057,45.171850148329284,0.998,1.0,0.0,0.0,0.998,0.09644269599073763,7.651337329904019,0.21875,0.2578125,0.21875,0.0,0.09375,0.09375,0.0,-0.6060915267313264,0.15731612981465948
uniform_high,8,0,fixed,random,500,0.25,0.5,0.8112781244591328,0.604410533345913,45.33079000094349,0.998,1.0,0.0,0.0,0.998,0.09649327165612998,7.953149679216539,0.375,0.2578125,0.21875,0.0,0.16964285714285715,0.125,0.0,-0.6172133998483676,0.155750418662692
patchy_high,8,0,fixed,random,1,0.5,0.0,1.0,0.5039322368700682,37.78820524181585,0.998,1.0,0.0,0.0,0.998,0.40909090909090917,0.011,0.53125,0.203125,0.21875,0.0,0.15625,0.03125000000000003,0.2,-0.16666666666666666,0.19990000000000002
patchy_high,8,0,fixed,random,20,0.25,0.5,0.8112781244591328,0.561231497563263,42.03570705898378,0.998,1.0,0.0,0.0,0.998,0.16880445304937086,0.25825,0.3125,0.203125,0.21875,0.0,0.125,0.06250000000000001,0.0,-0.3849001794597505,0.19800947156046594
patchy_high,8,0,fixed,random,40,0.25,0.5,0.8112781244591328,0.5917299611359853,44.29899186791912,0.998,1.0,0.0,0.0,0.998,0.10280424426158508,0.5772500000000002,0.15625,0.203125,0.21875,0.0,0.17410714285714285,-0.09374999999999999,0.0,0.5773502691896258,0.19603875413827485
patchy_high,8,0,fixed,random,60,0.5,0.0,1.0,0.6075967194752571,45.497003046092715,0.998,1.0,0.0,0.0,0.998,0.0811047686656785,0.8746739402095907,0.5,0.21875,0.21875,0.0,0.14285714285714285,2.7755575615628914e-17,0.25,0.0,0.1940876505614596
patchy_high,8,0,fixed,random,80,0.25,0.5,0.8112781244591328,0.6156282081290941,46.10121419738754,0.998,1.0,0.0,0.0,0.998,0.08548424200870608,1.1622086707762613,0.25,0.21875,0.21875,0.0,0.08035714285714285,1.3877787807814457e-17,0.0,0.0,0.19215596562043488
patchy_high,8,0,fixed,random,100,0.375,0.25,0.954434002924965,0.6185879502752788,46.337322077722966,0.998,1.0,0.0,0.0,0.998,0.08963874897455737,1.4520262640680552,0.34375,0.21875,0.21875,0.0,0.18303571428571427,-0.03124999999999998,0.16666666666666666,0.1632993161855452,0.19024350604846688
patchy_high,8,0,fixed,random,120,0.0,1.0,0.0,0.6208605974000329,46.51446539402334,0.998,1.0,0.0,0.0,0.998,0.09046253807297888,1.7260023950373549,0.0,0.21875,0.21875,0.0,0.0,0.0,0.0,nan,0.18835008050233615
patchy_high,8,0,fixed,random,140,0.25,0.5,0.8112781244591328,0.6202499446812368,46.47752684861302,0.998,1.0,0.0,0.0,0.998,0.09825737234835796,2.0148578821465826,0.25,0.21875,0.21875,0.0,0.08035714285714285,1.3877787807814457e-17,0.0,0.0,0.186475499543194
patchy_high,8,0,fixed,random,160,0.125,0.75,0.5435644431995964,0.6210732574255118,46.53885793299639,0.998,1.0,0.0,0.0,0.998,0.09934494821762652,2.2890799705165072,0.0625,0.21875,0.21875,0.0,0.11607142857142858,-0.06249999999999999,0.0,0.4780914437337574,0.1846195756176088
patchy_high,8,0,fixed,random,180,0.125,0.75,0.5435644431995964,0.6216526203560493,46.580328764675066,0.998,1.0,0.0,0.0,0.998,0.10265912616278028,2.565012160617868,0.0625,0.21875,0.21875,0.0,0.11607142857142858,-0.06249999999999999,0.0,0.4780914437337574,0.18278212303880104
patchy_high,8,0,fixed,random,200,0.25,0.5,0.8112781244591328,0.622587187042624,46.63868899313508,0.998,1.0,0.0,0.0,0.998,0.10675133831444339,2.838755404332052,0.1875,0.21875,0.21875,0.0,0.14285714285714285,-0.062499999999999986,0.0,0.3651483716701107,0.1809629579680653
