scenario,population,replicate,social_mode,rewiring,time,visibility_gini,max_visibility_share,zero_visibility_fraction,population_low_fraction,visible_low_fraction,mean_perception_error,signed_perception_bias,majority_mismatch_rate,degree_action_correlation,mean_prediction_error,edge_turnover,rewires_since_record,cumulative_rewires,global_rewire_fraction,requested_global_fraction,local_fallbacks
uniform_high,8,0,fixed,random,0,0.203125,0.21875,0.0,nan,nan,nan,nan,nan,nan,nan,0.0,0,0,0.0,0.0,0
uniform_high,8,0,fixed,random,1,0.203125,0.21875,0.0,0.5,0.53125,0.15625,0.03125000000000003,0.2,-0.16666666666666666,0.15625,0.0,0,0,0.0,0.0,0
uniform_high,8,0,fixed,random,50,0.21875,0.21875,0.0,0.0,0.0,0.0,0.0,0.0,nan,0.07933109239342823,0.11764705882352944,2,2,0.0,0.0,0
uniform_high,8,0,fixed,random,100,0.21875,0.21875,0.0,0.25,0.28125,0.15625,0.031250000000000014,0.0,-0.18257418583505536,0.21741439275347485,0.0,0,2,0.0,0.0,0
uniform_high,8,0,fixed,random,150,0.21875,0.21875,0.0,0.125,0.15625,0.10267857142857142,0.03125000000000001,0.0,-0.2390457218668787,0.11988830867240097,0.0,0,2,0.0,0.0,0
uniform_high,8,0,fixed,random,200,0.21875,0.21875,0.0,0.125,0.0625,0.11607142857142858,-0.06249999999999999,0.0,0.4780914437337574,0.14217048077357247,0.06060606060606055,1,3,0.0,0.0,0
uniform_high,8,0,fixed,random,250,0.2265625,0.21875,0.0,0.125,0.0625,0.11607142857142858,-0.06249999999999999,0.0,0.45584230583855173,0.0643005080682784,0.06060606060606055,1,4,1.0,1.0,0
uniform_high,8,0,fixed,random,300,0.2265625,0.21875,0.0,0.0,0.0,0.0,0.0,0.0,nan,0.08068870438619768,0.0,0,4,0.0,0.0,0
uniform_high,8,0,fixed,random,350,0.2265625,0.21875,0.0,0.25,0.28125,0.07589285714285714,0.031250000000000014,0.0,-0.17407765595569785,0.25275319566524607,0.0,0,4,0.0,0.0,0
uniform_high,8,0,fixed,random,400,0.2265625,0.21875,0.0,0.25,0.25,0.13392857142857142,1.3877787807814457e-17,0.0,0.0,0.2054686420425305,0.0,0,4,0.0,0.0,0
uniform_high,8,0,fixed,random,450,0.2578125,0.21875,0.0,0.125,0.0625,0.11607142857142858,-0.06249999999999999,0.0,0.40406101782088427,0.047857293570770065,0.06060606060606055,1,5,0.0,0.0,0
uniform_high,8,0,fixed,random,500,0.2578125,0.21875,0.0,0.25,0.375,0.16964285714285715,0.125,0.0,-0.6172133998483676,0.2110730380651306,0.0,0,5,0.0,0.0,0
patchy_high,8,0,fixed,random,0,0.203125,0.21875,0.0,nan,nan,nan,nan,nan,nan,nan,0.0,0,0,0.0,0.0,0
patchy_high,8,0,fixed,random,1,0.203125,0.21875,0.0,0.5,0.53125,0.15625,0.03125000000000003,0.2,-0.16666666666666666,0.15625,0.0,0,0,0.0,0.0,0
patchy_high,8,0,fixed,random,50,0.21875,0.21875,0.0,0.125,0.0625,0.11607142857142858,-0.06249999999999999,0.0,0.4780914437337574,0.13044068208119036,0.11764705882352944,2,2,0.0,0.0,0
patchy_high,8,0,fixed,random,100,0.21875,0.21875,0.0,0.375,0.34375,0.18303571428571427,-0.03124999999999998,0.16666666666666666,0.1632993161855452,0.18491016341579453,0.0,0,2,0.0,0.0,0
patchy_high,8,0,fixed,random,150,0.21875,0.21875,0.0,0.25,0.21875,0.11160714285714285,-0.031249999999999986,0.0,0.18257418583505536,0.1908724436428336,0.0,0,2,0.0,0.0,0
patchy_high,8,0,fixed,random,200,0.21875,0.21875,0.0,0.25,0.1875,0.14285714285714285,-0.062499999999999986,0.0,0.3651483716701107,0.21458985948274584,0.06060606060606055,1,3,0.0,0.0,0
patchy_high,8,0,fixed,random,250,0.2265625,0.21875,0.0,0.375,0.3125,0.11607142857142858,-0.06249999999999998,0.0,0.3113995776646092,0.16840701784246026,0.06060606060606055,1,4,1.0,1.0,0
patchy_high,8,0,fixed,random,300,0.2265625,0.21875,0.0,0.25,0.25,0.08035714285714285,1.3877787807814457e-17,0.0,0.0,0.1472602884316667,0.0,0,4,0.0,0.0,0
patchy_high,8,0,fixed,random,350,0.2265625,0.21875,0.0,0.375,0.375,0.10714285714285715,2.0816681711721685e-17,0.0,0.0,0.2039480043279752,0.0,0,4,0.0,0.0,0
patchy_high,8,0,fixed,random,400,0.2265625,0.21875,0.0,0.5,0.5,0.09821428571428571,2.7755575615628914e-17,0.0,0.0,0.30055244806438475,0.0,0,4,0.0,0.0,0
patchy_high,8,0,fixed,random,450,0.2578125,0.21875,0.0,0.25,0.21875,0.16517857142857142,-0.031249999999999986,0.0,0.1543033499620919,0.13324697906791522,0.06060606060606055,1,5,0.0,0.0,0
patchy_high,8,0,fixed,random,500,0.2578125,0.21875,0.0,0.125,0.21875,0.09375,0.09375,0.0,-0.6060915267313264,0.1255429018379755,0.0,0,5,0.0,0.0,0
