scenario,population,replicate,social_mode,rewiring,agent,x,y,region,visibility_degree,attention_sources,rewires_initiated,mean_prediction_error,policy_scarce_mostly_high,q_scarce_mostly_high_low,q_scarce_mostly_high_high,policy_scarce_mixed,q_scarce_mixed_low,q_scarce_mixed_high,policy_scarce_mostly_low,q_scarce_mostly_low_low,q_scarce_mostly_low_high,policy_moderate_mostly_high,q_moderate_mostly_high_low,q_moderate_mostly_high_high,policy_moderate_mixed,q_moderate_mixed_low,q_moderate_mixed_high,policy_moderate_mostly_low,q_moderate_mostly_low_low,q_moderate_mostly_low_high,policy_abundant_mostly_high,q_abundant_mostly_high_low,q_abundant_mostly_high_high,policy_abundant_mixed,q_abundant_mixed_low,q_abundant_mixed_high,policy_abundant_mostly_low,q_abundant_mostly_low_low,q_abundant_mostly_low_high
uniform_high,8,0,fixed,random,agent_0,9,3,uniform_high,2,agent_1|agent_2|agent_5|agent_7,2,0.12219775913056134,H,0.14338052375545565,0.17070866001586496,H,0.010110400116016887,0.11222335843062951,L,0.01998079860931975,4.654211268884583e-09,H,0.001159469954131352,0.01738079733382293,L,0.0019493900492451657,2.720996704595542e-09,H,-2.2052159748265837e-08,0.002036099566490706,H,-1.8244383181067326e-09,6.642302549080126e-09,L,3.6107049243246247e-09,2.3408035468349745e-09,L,-2.8297800240563446e-09,-7.604645861928255e-09
uniform_high,8,0,fixed,random,agent_1,8,3,uniform_high,2,agent_5|agent_7|agent_2|agent_4,0,0.1264849095453622,H,0.2362722726254555,0.27518076771244016,H,0.02068645515492853,0.17569711681606676,H,-8.400436856134603e-09,0.0162004989718618,H,0.0018786450517731747,0.02237140462261983,H,0.0019343421577146603,0.02332594284751565,H,0.0003989996315528793,0.006835494664372428,H,-1.1194383105948041e-08,4.851645448746522e-09,H,-1.9320435238217296e-08,-3.0447768846579923e-10,L,1.4330758152938092e-08,-1.5271355882330675e-08
uniform_high,8,0,fixed,random,agent_2,1,9,uniform_high,7,agent_0|agent_5|agent_6|agent_4,0,0.11400059965312295,H,0.2166358054474068,0.24860548233128063,H,0.004431510887876533,0.16329651342195864,L,0.03450357068916296,3.0823421860503044e-09,H,-6.1293608289665174e-09,0.012421748128998867,H,0.00037999588629896363,0.0093672220723088,H,-6.926377054543295e-09,0.01112672976579487,L,9.732182875159392e-09,5.423171883284276e-10,L,2.016832498358023e-08,-7.447017906150152e-09,L,1.5422719954562964e-08,-4.043144338380311e-09
uniform_high,8,0,fixed,random,agent_3,4,3,uniform_high,2,agent_4|agent_2|agent_5|agent_6,1,0.12843460146485905,L,-9.60579787907967e-09,-1.1536379113974887e-08,H,-2.015166139805569e-08,2.1677157982383588e-08,H,-9.21453032763118e-09,5.4986563256932164e-09,H,0.2152068121790044,0.2881028844486214,H,0.024761792843071714,0.1950972162184248,H,1.0232140986372056e-08,0.007113773667821184,L,1.620530891936617e-08,-1.2714948404076017e-08,H,-1.0697163114531625e-08,8.384944286046236e-09,H,1.8227806946644684e-08,2.0439496906955603e-08
uniform_high,8,0,fixed,random,agent_4,2,1,uniform_high,5,agent_0|agent_2|agent_7|agent_6,0,0.12171095297347705,H,0.20723620876381296,0.2602226678893363,L,0.16547648291769854,-5.967923503042199e-09,L,0.020904111150506416,-6.080700096105584e-09,L,0.0042975572641993556,0.004065477365562444,H,0.0006082830206738642,0.013262002065858943,L,0.002328655731349264,-3.922180107041891e-09,H,-1.9939933203901656e-08,9.665397155628862e-09,L,1.2348102470288986e-08,9.235430776837237e-09,L,-4.966683527860735e-09,-1.526953138245538e-08
uniform_high,8,0,fixed,random,agent_5,0,9,uniform_high,6,agent_4|agent_2|agent_3|agent_7,1,0.12882404385207494,H,0.10229687759830224,0.13092298906526828,H,0.010137656503978167,0.08952337945754123,H,-1.4862256092604702e-08,0.013833663128092321,H,0.0016064739171389362,0.01466046621710115,H,0.0017789914362844842,0.005641791406933931,L,0.0016928967206698304,-1.5255914405775842e-08,L,2.2618503354947588e-08,-9.52778036354754e-09,H,-1.4569801714821618e-08,1.310783273440312e-08,H,-9.097877489429046e-09,1.787209132014751e-09
uniform_high,8,0,fixed,random,agent_6,9,4,uniform_high,3,agent_2|agent_1|agent_5|agent_7,0,0.12366104322967647,H,0.17726310264058354,0.24320476913541725,H,0.024893346264806344,0.13764847182151774,L,0.03827617406096258,-8.657348610812632e-10,H,0.0045622708048027785,0.02521553758000725,H,0.001140542373010717,0.005021315081066735,L,0.0005590893240823598,-1.2592004823950172e-08,L,2.493679169656923e-08,3.4813531627573274e-09,L,2.4752479980515946e-08,-5.073058674616103e-10,H,-5.559515255068474e-09,-2.162594756286805e-09
uniform_high,8,0,fixed,random,agent_7,2,1,uniform_high,5,agent_3|agent_2|agent_5|agent_4,1,0.12547158092008667,H,0.2191747624107376,0.2890974289373574,L,0.14169807341314744,1.3486883513910228e-09,H,-4.643610051451395e-09,0.004822606439087695,H,0.0008971271348015177,0.02020253175542357,H,0.004374653995218261,0.009022906266192269,L,0.0009340812336364429,3.266070143282729e-09,H,-8.954404490918788e-09,1.480073762029971e-09,H,-2.0332186114174267e-08,-9.339330570567585e-09,H,2.6033560078972872e-09,4.393111965637603e-09
patchy_high,8,0,fixed,random,agent_0,9,3,patchy_high,2,agent_1|agent_2|agent_5|agent_7,2,0.19911582149453652,H,0.1138975257746031,0.1683211830340306,H,0.07491889299049284,0.17331575717538425,L,0.09606860952585308,0.0412528868376879,H,0.001159469954131352,0.012762570138185018,L,0.000958418549382209,2.720996704595542e-09,H,-2.2052159748265837e-08,0.002036099566490706,H,-1.8244383181067326e-09,6.642302549080126e-09,L,3.6107049243246247e-09,2.3408035468349745e-09,L,-2.8297800240563446e-09,-7.604645861928255e-09
patchy_high,8,0,fixed,random,agent_1,8,3,patchy_high,2,agent_5|agent_7|agent_2|agent_4,0,0.17906635357989897,L,0.09603808499563103,0.07464575430766411,H,0.019044363484755442,0.07421820353069179,H,-8.400436856134603e-09,0.01440326022335398,H,0.06907651331771142,0.10678099752784911,H,0.009561027517302426,0.07832230173581996,H,0.0003989996315528793,0.008615850574498152,H,-1.1194383105948041e-08,4.851645448746522e-09,H,-1.9320435238217296e-08,-3.0447768846579923e-10,L,1.4330758152938092e-08,-1.5271355882330675e-08
patchy_high,8,0,fixed,random,agent_2,1,9,patchy_high,7,agent_0|agent_5|agent_6|agent_4,0,0.17496184950522434,H,0.18593801587804357,0.22834338780152527,H,0.015884578030659145,0.20427538025748043,L,0.06336834791965235,3.0823421860503044e-09,H,-6.1293608289665174e-09,0.011526549551369298,H,0.00037999588629896363,0.004505224568026992,H,-6.926377054543295e-09,0.01112672976579487,L,9.732182875159392e-09,5.423171883284276e-10,L,2.016832498358023e-08,-7.447017906150152e-09,L,1.5422719954562964e-08,-4.043144338380311e-09
patchy_high,8,0,fixed,random,agent_3,4,3,patchy_high,2,agent_4|agent_2|agent_5|agent_6,1,0.17146772138443556,L,-9.60579787907967e-09,-1.1536379113974887e-08,H,-2.015166139805569e-08,2.1677157982383588e-08,H,-9.21453032763118e-09,5.4986563256932164e-09,H,0.1529771606873487,0.24566187097701286,H,0.08897829681646077,0.21862978553371543,H,1.0232140986372056e-08,0.13336372002773517,L,1.620530891936617e-08,-1.2714948404076017e-08,H,-1.0697163114531625e-08,8.384944286046236e-09,H,1.8227806946644684e-08,2.0439496906955603e-08
patchy_high,8,0,fixed,random,agent_4,2,1,patchy_high,5,agent_0|agent_2|agent_7|agent_6,0,0.16185322421904672,H,0.06773278939574567,0.15453383945460458,H,0.018646840230343388,0.13157898144880112,L,0.011233832531548823,-6.080700096105584e-09,H,0.08947475752801483,0.15813741193168795,H,0.03195890819135419,0.14556176951077215,L,0.060887421984029376,-3.922180107041891e-09,H,-1.9939933203901656e-08,9.665397155628862e-09,L,1.2348102470288986e-08,9.235430776837237e-09,L,-4.966683527860735e-09,-1.526953138245538e-08
patchy_high,8,0,fixed,random,agent_5,0,9,patchy_high,6,agent_4|agent_2|agent_3|agent_7,1,0.17452410906829416,H,0.08665343034368267,0.11758274596970252,H,0.014981703352182069,0.10114060609383839,H,-1.4862256092604702e-08,0.03368678055152263,H,0.00019999643080268045,0.014210954094604817,H,0.002965128364380335,0.005641791406933931,L,0.00021898991138303032,-1.5255914405775842e-08,L,2.2618503354947588e-08,-9.52778036354754e-09,H,-1.4569801714821618e-08,1.310783273440312e-08,H,-9.097877489429046e-09,1.787209132014751e-09
patchy_high,8,0,fixed,random,agent_6,9,4,patchy_high,3,agent_2|agent_1|agent_5|agent_7,0,0.22092449714770415,H,0.10160306919702407,0.15826841526129048,L,0.14159682295492484,0.09223490577713198,L,0.10339156505915921,0.01163063545110847,H,0.0014164840438160493,0.018020185465619218,H,0.003911580304098593,0.005970056128206949,L,0.0005590893240823598,-1.2592004823950172e-08,L,2.493679169656923e-08,3.4813531627573274e-09,L,2.4752479980515946e-08,-5.073058674616103e-10,H,-5.559515255068474e-09,-2.162594756286805e-09
patchy_high,8,0,fixed,random,agent_7,2,1,patchy_high,5,agent_3|agent_2|agent_5|agent_4,1,0.12427378519758753,L,0.14005549445896012,0.0744400418113949,L,1.0347184710655364e-08,1.3486883513910228e-09,H,-4.643610051451395e-09,5.64059947943885e-09,H,0.09020881388069832,0.15125149935063653,L,0.06454590798929742,-2.6557411799919173e-09,L,0.009709161067651599,3.266070143282729e-09,H,-8.954404490918788e-09,1.480073762029971e-09,H,-2.0332186114174267e-08,-9.339330570567585e-09,H,2.6033560078972872e-09,4.393111965637603e-09
