scenario,population,replicate,social_mode,rewiring,unique_policy_count,policy_entropy,policy_hamming_mean,total_rewires,mean_rewires_per_agent,mean_prediction_error,visibility_gini,max_visibility_degree,max_visibility_share,policy_low_scarce,policy_low_moderate,policy_low_abundant,policy_low_scarce_mostly_high,policy_low_scarce_mixed,policy_low_scarce_mostly_low,policy_low_moderate_mostly_high,policy_low_moderate_mixed,policy_low_moderate_mostly_low,policy_low_abundant_mostly_high,policy_low_abundant_mixed,policy_low_abundant_mostly_low
uniform_high,8,0,fixed,random,8,1.0,0.4484126984126983,5,0.625,0.12384818634615258,0.2578125,7,0.21875,0.2916666666666667,0.25,0.5,0.125,0.25,0.5,0.125,0.125,0.5,0.5,0.5,0.5
patchy_high,8,0,fixed,random,8,1.0,0.4722222222222222,5,0.625,0.175773420199591,0.2578125,7,0.21875,0.375,0.25,0.5,0.375,0.25,0.5,0.0,0.25,0.5,0.5,0.5,0.5
