scenario,scenario_label,scenario_group,population,replicate,cooperation_rate,collective_action_entropy,collective_order,switch_rate,wealth_gini,mean_welfare,mean_wealth,total_resource,mean_resource_fraction,unique_policy_count,policy_entropy,policy_hamming_mean,policy_cooperate_scarce,policy_cooperate_moderate,policy_cooperate_abundant,network_density,network_components,largest_component_fraction,network_clustering,network_policy_similarity,policy_assortativity
patchy_high,Patchy high,single,32,1,0.03125,0.20062232431271457,0.9375,6.25e-05,0.43672411371989506,32.20329103782939,41.80976617498597,22.63862565646664,0.2991727138465464,4,0.5023496092623193,0.2452956989247312,0.03125,0.09375,0.40625,0.06653225806451613,12,0.1875,0.546875,0.7272727272727274,-0.027427724240178003
centralized_low,Centralized low,single,8,1,0.0,0.0,1.0,0.0,0.1614986944683019,23.634089080273466,33.63508908027348,14.433869469112052,0.4177651453655578,3,0.4685463540765222,0.2738095238095238,0.0,0.125,0.5,0.07142857142857142,6,0.25,0.0,0.6666666666666667,-1.0
centralized_low,Centralized low,single,16,1,0.0,0.0,1.0,0.0,0.3907726874514151,12.34308385482457,21.39759101737482,9.248534522024219,0.27656068102888137,3,0.501746938314716,0.275,0.0,0.1875,0.375,0.075,10,0.25,0.3958333333333333,0.6666666666666666,-0.1688311688311692
centralized_low,Centralized low,single,32,1,0.09375,0.4488644887230295,0.8125,0.000125,0.5435171152134287,2.6003387059279848,7.591365280569672,5.188363940253969,0.15969161063324938,6,0.7181390622295664,0.353494623655914,0.09375,0.25,0.40625,0.06653225806451613,12,0.1875,0.546875,0.6060606060606061,-0.05506216696269976
decentralized_high,Decentralized high,single,8,1,0.052625,0.21354428087753308,0.89475,0.10525,0.06608212270993703,85.09516544600365,95.09616544600041,45.946402131320355,0.6205188394547431,4,0.6352130207431889,0.36904761904761907,0.375,0.0,0.5,0.07142857142857142,6,0.25,0.0,0.5,-0.8181818181818181
decentralized_high,Decentralized high,single,16,1,0.0101875,0.05497828085857326,0.979625,0.0203125,0.16319385480098386,68.01767049549392,78.01867049549259,36.844054447133985,0.4983345181985474,3,0.4685463540765222,0.24444444444444446,0.125,0.0,0.375,0.075,10,0.25,0.3958333333333333,0.7777777777777779,-0.5
decentralized_high,Decentralized high,single,32,1,0.0,0.0,1.0,6.25e-05,0.4408716635322498,32.211925934537454,41.856307964011066,22.5686723840664,0.3074144214782933,3,0.4493687100208576,0.22446236559139784,0.0,0.09375,0.40625,0.06653225806451613,12,0.1875,0.546875,0.7474747474747475,-0.1515151515151515
patchy_high_central_low,Patchy high + central low,mixed,8,1,0.066125,0.26878773864066247,0.86775,0.13225,0.06292149040979603,83.88544284993345,93.88644284993079,42.031303838014466,0.6797933014918593,4,0.6352130207431889,0.36904761904761907,0.375,0.0,0.5,0.07142857142857142,6,0.25,0.0,0.5,-0.8181818181818181
patchy_high_central_low,Patchy high + central low,mixed,16,1,0.0,0.0,1.0,0.0,0.22634430472724323,66.44263962200306,76.44363962200096,38.16729745675677,0.589955383695383,5,0.6403932306491659,0.32222222222222213,0.125,0.125,0.375,0.075,10,0.25,0.3958333333333333,0.5555555555555556,-0.5
patchy_high_central_low,Patchy high + central low,mixed,32,1,0.0,0.0,1.0,0.0,0.37059630777207475,41.76383996919092,51.76483996918988,27.975096537681726,0.42015930911781263,4,0.5269928620349932,0.2620967741935484,0.03125,0.125,0.40625,0.06653225806451613,12,0.1875,0.546875,0.7171717171717172,-0.0999999999999999
