scenario,population,replicate,agent,x,y,region,policy_scarce,policy_moderate,policy_abundant,cooperation_preference,wealth,energy
uniform_high,8,0,agent_0,9,3,uniform_high,D,D,C,0.3333333333333333,67.04661659388077,56.04661659387572
uniform_high,8,0,agent_1,8,3,uniform_high,D,D,D,0.0,116.54399999999393,105.5440000000029
uniform_high,8,0,agent_2,1,9,uniform_high,D,C,C,0.6666666666666666,100.27452378319927,89.27452378320307
uniform_high,8,0,agent_3,4,3,uniform_high,C,D,D,0.3333333333333333,116.88599999999389,105.88600000000291
uniform_high,8,0,agent_4,2,1,uniform_high,D,D,C,0.3333333333333333,109.93026898066388,98.93026898066998
uniform_high,8,0,agent_5,0,9,uniform_high,D,D,D,0.0,52.67026850704786,41.67026850704629
uniform_high,8,0,agent_6,9,4,uniform_high,D,D,C,0.3333333333333333,96.88282239810229,85.88282239810528
uniform_high,8,0,agent_7,2,1,uniform_high,D,D,D,0.0,110.77626898066391,99.77626898067027
uniform_high,16,0,agent_0,9,3,uniform_high,D,D,C,0.3333333333333333,59.569387370676694,48.56938737067304
uniform_high,16,0,agent_1,8,3,uniform_high,D,D,D,0.0,116.54399999999393,105.5440000000029
uniform_high,16,0,agent_2,1,9,uniform_high,D,D,C,0.3333333333333333,99.65860074964829,88.6586007496518
uniform_high,16,0,agent_3,4,3,uniform_high,C,D,D,0.3333333333333333,103.70999999999545,92.71000000000241
uniform_high,16,0,agent_4,2,1,uniform_high,D,D,C,0.3333333333333333,70.41072807715561,59.41072807714999
uniform_high,16,0,agent_5,0,9,uniform_high,D,D,D,0.0,50.803575546868466,39.803575546867556
uniform_high,16,0,agent_6,9,4,uniform_high,D,D,C,0.3333333333333333,89.40394014523861,78.40394014523866
uniform_high,16,0,agent_7,2,1,uniform_high,D,D,D,0.0,70.32072807715562,59.32072807715008
uniform_high,16,0,agent_8,2,0,uniform_high,D,D,C,0.3333333333333333,43.86868412514108,32.868684125143375
uniform_high,16,0,agent_9,6,3,uniform_high,C,D,C,0.6666666666666666,113.969999999994,102.9700000000028
uniform_high,16,0,agent_10,3,4,uniform_high,C,D,C,0.6666666666666666,116.47199999999391,105.4720000000029
uniform_high,16,0,agent_11,4,1,uniform_high,D,D,D,0.0,116.41799999999397,105.41800000000289
uniform_high,16,0,agent_12,2,0,uniform_high,D,D,D,0.0,43.791055882450266,32.79105588245257
uniform_high,16,0,agent_13,0,5,uniform_high,C,D,D,0.3333333333333333,111.44999999999443,100.4500000000027
uniform_high,16,0,agent_14,8,9,uniform_high,D,D,D,0.0,92.09832292990114,81.09832292990212
uniform_high,16,0,agent_15,9,8,uniform_high,D,D,D,0.0,88.84096268494916,77.84096268494926
uniform_high,32,0,agent_0,9,3,uniform_high,D,D,C,0.3333333333333333,16.275534571193827,5.275534571194997
uniform_high,32,0,agent_1,8,3,uniform_high,D,D,D,0.0,50.5522977199252,39.55229771992432
uniform_high,32,0,agent_2,1,9,uniform_high,D,D,C,0.3333333333333333,45.739147817962284,34.73914781796356
uniform_high,32,0,agent_3,4,3,uniform_high,D,D,D,0.0,76.79896382742866,65.79896382742282
uniform_high,32,0,agent_4,2,1,uniform_high,D,D,C,0.3333333333333333,55.62764764355357,44.627647643550944
uniform_high,32,0,agent_5,0,9,uniform_high,D,D,D,0.0,23.768921331005647,12.768921331003321
uniform_high,32,0,agent_6,9,4,uniform_high,D,D,C,0.3333333333333333,8.031304029770048,0.0
uniform_high,32,0,agent_7,2,1,uniform_high,D,D,D,0.0,55.38647704419773,44.38647704419519
uniform_high,32,0,agent_8,2,0,uniform_high,D,D,C,0.3333333333333333,36.130409639366235,25.130409639367947
uniform_high,32,0,agent_9,6,3,uniform_high,D,D,C,0.3333333333333333,37.60403702595944,26.604037025962022
uniform_high,32,0,agent_10,3,4,uniform_high,D,D,C,0.3333333333333333,108.52325543583065,97.52325543583642
uniform_high,32,0,agent_11,4,1,uniform_high,D,D,D,0.0,69.06901004611362,58.069010046107756
uniform_high,32,0,agent_12,2,0,uniform_high,D,D,D,0.0,36.10502498004711,25.105024980048825
uniform_high,32,0,agent_13,0,5,uniform_high,D,D,D,0.0,84.04410287881272,73.04410287881112
uniform_high,32,0,agent_14,8,9,uniform_high,D,D,D,0.0,28.983929648037588,17.983929648036757
uniform_high,32,0,agent_15,9,8,uniform_high,D,D,D,0.0,9.654032466086079,0.0
uniform_high,32,0,agent_16,6,1,uniform_high,D,D,D,0.0,96.03438217981547,85.03438217981814
uniform_high,32,0,agent_17,9,6,uniform_high,D,D,C,0.3333333333333333,18.652386236668647,7.652386236669925
uniform_high,32,0,agent_18,9,4,uniform_high,D,D,D,0.0,8.09804987329771,0.0
uniform_high,32,0,agent_19,7,8,uniform_high,D,D,D,0.0,57.20338716143759,46.20338716143472
uniform_high,32,0,agent_20,0,7,uniform_high,D,D,C,0.3333333333333333,81.86494753177793,70.86494753177494
uniform_high,32,0,agent_21,9,0,uniform_high,D,D,C,0.3333333333333333,70.80219558015591,59.80219558015036
uniform_high,32,0,agent_22,1,9,uniform_high,D,D,D,0.0,44.76448277579866,33.764482775800296
uniform_high,32,0,agent_23,6,4,uniform_high,D,D,C,0.3333333333333333,73.64242610576854,62.64242610576222
uniform_high,32,0,agent_24,3,6,uniform_high,C,D,D,0.3333333333333333,102.30599999999517,91.30600000000236
uniform_high,32,0,agent_25,7,4,uniform_high,D,D,C,0.3333333333333333,47.299725686667216,36.29972568666771
uniform_high,32,0,agent_26,5,2,uniform_high,D,D,C,0.3333333333333333,48.54104502382916,37.541045023829135
uniform_high,32,0,agent_27,8,6,uniform_high,D,D,C,0.3333333333333333,68.40250289878645,57.40250289878108
uniform_high,32,0,agent_28,8,8,uniform_high,D,C,C,0.6666666666666666,15.472429839178526,4.4724298391796395
uniform_high,32,0,agent_29,1,4,uniform_high,D,D,C,0.3333333333333333,103.06199999999767,92.06200000000239
uniform_high,32,0,agent_30,7,8,uniform_high,D,D,D,0.0,57.68116382089817,46.68116382089511
uniform_high,32,0,agent_31,9,3,uniform_high,D,D,D,0.0,16.260654661757258,5.260654661758415
patchy_high,8,0,agent_0,9,3,patchy_high,D,D,C,0.3333333333333333,80.64686393834671,69.64686393834288
patchy_high,8,0,agent_1,8,3,patchy_high,D,D,D,0.0,116.54399999999393,105.5440000000029
patchy_high,8,0,agent_2,1,9,patchy_high,D,D,C,0.3333333333333333,94.63949060284416,83.63949060284591
patchy_high,8,0,agent_3,4,3,patchy_high,C,D,D,0.3333333333333333,116.88599999999389,105.88600000000291
patchy_high,8,0,agent_4,2,1,patchy_high,D,D,C,0.3333333333333333,107.04075179957562,96.04075179958107
patchy_high,8,0,agent_5,0,9,patchy_high,D,D,D,0.0,41.10802869424351,30.108028694246066
patchy_high,8,0,agent_6,9,4,patchy_high,D,D,C,0.3333333333333333,93.9234551077533,82.9234551077546
patchy_high,8,0,agent_7,2,1,patchy_high,D,D,D,0.0,107.86875179957563,96.86875179958133
patchy_high,16,0,agent_0,9,3,patchy_high,D,D,C,0.3333333333333333,73.08345998616718,62.08345998616037
patchy_high,16,0,agent_1,8,3,patchy_high,D,D,D,0.0,116.54399999999393,105.5440000000029
patchy_high,16,0,agent_2,1,9,patchy_high,D,D,C,0.3333333333333333,93.56237068428423,82.56237068428614
patchy_high,16,0,agent_3,4,3,patchy_high,C,D,D,0.3333333333333333,110.40599999999446,99.40600000000266
patchy_high,16,0,agent_4,2,1,patchy_high,D,D,C,0.3333333333333333,68.83415269716353,57.83415269715829
patchy_high,16,0,agent_5,0,9,patchy_high,D,D,D,0.0,39.862425631920964,28.862425631923426
patchy_high,16,0,agent_6,9,4,patchy_high,D,D,C,0.3333333333333333,88.50961492574758,77.50961492574748
patchy_high,16,0,agent_7,2,1,patchy_high,D,D,D,0.0,69.12215269716354,58.12215269715828
patchy_high,16,0,agent_8,2,0,patchy_high,D,D,C,0.3333333333333333,43.236795306009384,32.23679530601202
patchy_high,16,0,agent_9,6,3,patchy_high,D,D,C,0.3333333333333333,117.15599999999378,106.15600000000292
patchy_high,16,0,agent_10,3,4,patchy_high,C,D,C,0.6666666666666666,116.47199999999391,105.4720000000029
patchy_high,16,0,agent_11,4,1,patchy_high,C,D,D,0.3333333333333333,107.183999999995,96.18400000000254
patchy_high,16,0,agent_12,2,0,patchy_high,D,D,D,0.0,43.161820496797134,32.16182049679979
patchy_high,16,0,agent_13,0,5,patchy_high,C,D,D,0.3333333333333333,96.04199999999693,85.04200000000212
patchy_high,16,0,agent_14,8,9,patchy_high,D,D,D,0.0,91.88075801756267,80.88075801756308
