scenario,population,replicate,phase,time,cooperation_rate,collective_action_entropy,collective_order,switch_rate,wealth_gini,mean_welfare,mean_wealth,total_resource,mean_resource_fraction
uniform_high,8,0,training,1,0.75,0.8112781244591328,0.5,0.0,0.5192307692307696,1.0045,0.0065,37.823724533333326,0.5043163271111112
uniform_high,8,0,training,50,0.125,0.5435644431995964,0.75,0.125,0.10743106926698065,1.6435000000000004,0.7435000000000004,44.92298795154639,0.5989731726872851
uniform_high,8,0,training,100,0.25,0.8112781244591328,0.5,0.25,0.09069028427748571,2.3523317775505586,1.5523317775505534,45.969952779349626,0.6129327037246618
uniform_high,8,0,training,150,0.25,0.8112781244591328,0.5,0.25,0.09430079902827293,3.0355767813718004,2.335576781371786,46.12281385192263,0.6149708513589683
uniform_high,8,0,training,200,0.0,0.0,1.0,0.25,0.09895869501401933,3.723682277890153,3.12368227789013,46.086611813278594,0.6144881575103814
uniform_high,8,0,training,250,0.0,0.0,1.0,0.25,0.1023185600294807,4.402090069136031,3.902090069136003,46.11933060200917,0.6149244080267888
uniform_high,8,0,training,300,0.125,0.5435644431995964,0.75,0.125,0.105121497844618,5.094616307943531,4.694616307943493,46.02876040848866,0.6137168054465153
uniform_high,8,0,training,350,0.25,0.8112781244591328,0.5,0.125,0.10472153419376751,5.767131906594816,5.467131906594767,46.142539246646805,0.6152338566219574
uniform_high,8,0,training,400,0.125,0.5435644431995964,0.75,0.25,0.10623985717346662,6.457226321774893,6.257226321774833,46.10356702775459,0.6147142270367278
uniform_high,8,0,training,450,0.125,0.5435644431995964,0.75,0.25,0.10819474061363854,7.149177143330419,7.049177143330356,46.053121444156304,0.6140416192554174
uniform_high,8,0,training,500,0.125,0.5435644431995964,0.75,0.375,0.10755189316880909,7.828878095789017,7.828878095788967,46.1266370704025,0.6150218276053666
uniform_high,8,0,training,550,0.0,0.0,1.0,0.25,0.10807152049079005,8.519165934903631,8.619165934903597,46.080300536115686,0.6144040071482091
uniform_high,8,0,training,600,0.125,0.5435644431995964,0.75,0.25,0.10909540201528944,9.211989595796153,9.41198959579614,46.01683287394056,0.6135577716525409
uniform_high,8,0,training,650,0.125,0.5435644431995964,0.75,0.25,0.1102347496024263,9.897635930973824,10.197635930973835,46.0567334414533,0.6140897792193772
uniform_high,8,0,training,700,0.0,0.0,1.0,0.25,0.1109090847453238,10.591250950093226,10.99125095009326,46.0370731900915,0.6138276425345535
uniform_high,8,0,training,750,0.25,0.8112781244591328,0.5,0.375,0.11147910848607445,11.281783453159651,11.781783453159711,46.03941641255825,0.6138588855007767
uniform_high,8,0,training,800,0.125,0.5435644431995964,0.75,0.375,0.11126209356737093,11.957804752695424,12.557804752695512,46.1105398668288,0.6148071982243841
uniform_high,8,0,training,850,0.375,0.954434002924965,0.25,0.25,0.11178783794245639,12.647946528771197,13.347946528771313,46.059182332075,0.6141224310943332
uniform_high,8,0,training,900,0.375,0.954434002924965,0.25,0.25,0.11241941831276114,13.335018845429051,14.135018845429197,46.08208555441268,0.6144278073921691
uniform_high,8,0,training,950,0.125,0.5435644431995964,0.75,0.125,0.11264119488898872,14.026775260527092,14.926775260527236,46.04983770185501,0.6139978360247336
uniform_high,8,0,training,1000,0.0,0.0,1.0,0.25,0.11293678201285595,14.717769451996691,15.717769451996823,46.02368574370356,0.6136491432493809
uniform_high,8,0,training,1050,0.125,0.5435644431995964,0.75,0.0,0.11299522445178578,15.398983082706765,16.498983082706886,46.06799311043919,0.6142399081391894
