scenario,scenario_label,scenario_group,population,replicates,cooperation_rate_mean,cooperation_rate_sd,collective_action_entropy_mean,collective_action_entropy_sd,collective_order_mean,collective_order_sd,switch_rate_mean,switch_rate_sd,wealth_gini_mean,wealth_gini_sd,mean_welfare_mean,mean_welfare_sd,mean_wealth_mean,mean_wealth_sd,total_resource_mean,total_resource_sd,mean_resource_fraction_mean,mean_resource_fraction_sd,unique_policy_count_mean,unique_policy_count_sd,policy_entropy_mean,policy_entropy_sd,policy_hamming_mean_mean,policy_hamming_mean_sd,policy_cooperate_scarce_mean,policy_cooperate_scarce_sd,policy_cooperate_moderate_mean,policy_cooperate_moderate_sd,policy_cooperate_abundant_mean,policy_cooperate_abundant_sd,network_density_mean,network_density_sd,network_components_mean,network_components_sd,largest_component_fraction_mean,largest_component_fraction_sd,network_clustering_mean,network_clustering_sd,network_policy_similarity_mean,network_policy_similarity_sd,policy_assortativity_mean,policy_assortativity_sd
split_high_low,High patchy + low fragmented split,mixed,16,10,0.056318749999999994,0.05023940471839145,0.26408037598329753,0.21576613673929432,0.8873625,0.10047880943678292,0.025174999999999996,0.019728799275002352,0.315307771161144,0.10261371506297517,57.41286805247008,9.93255907126866,66.95698166796937,10.386640507098297,27.321896541152245,2.147171943345867,0.46948028118799884,0.03184277960665244,4.4,0.6992058987801011,0.5926925596870385,0.07212080708989761,0.3152777777777778,0.03555483216856719,0.24375,0.09524274542218716,0.03125,0.03294039229342062,0.48125,0.11429888936954335,0.04416666666666666,0.017590155776652846,11.3,1.0593499054713802,0.19375,0.046116549210788865,0.06458333333333333,0.14042552725093718,0.7605555555555557,0.14521281860984084,-0.16611958621391895,0.4247225053181176
split_high_low,High patchy + low fragmented split,mixed,32,10,0.121703125,0.06586908188483193,0.49961826320230635,0.21902661332018208,0.75659375,0.13173816376966388,0.01228125,0.016475551383877195,0.49078000122646337,0.04985094879867686,33.21716040499037,4.768328314074732,41.22035567523087,4.391652131007592,16.661461761666978,3.7867315296480513,0.26423021251840073,0.04428399644760594,5.4,0.9660917830792958,0.6507253036582523,0.08858805541317599,0.31942204301075267,0.053598958743852954,0.19375,0.09969571761671166,0.0875,0.06387379048648288,0.503125,0.10147565731631294,0.05161290322580645,0.0077910627667685155,13.2,1.8737959096740262,0.21875,0.08333333333333333,0.2894791666666666,0.1280477691806055,0.6983220878738121,0.08955352743039101,0.018268243169851185,0.2284368047856655
centralized_low,Centralized low,single,8,10,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.19775064923305263,0.0376138425216114,30.78674064781857,5.1973354272557675,40.78774064781918,5.1973354272561165,13.601995697338873,1.1528599594526283,0.39196325714051394,0.030014814320462168,2.5,0.7071067811865476,0.3769873188638676,0.11188345279156113,0.2095238095238095,0.06573421981221797,0.0,0.0,0.0625,0.08838834764831845,0.6125,0.12430361575146916,0.03928571428571428,0.042757821419209446,6.9,1.1972189997378646,0.225,0.07905694150420949,0.0,0.0,0.75,0.25909386258580036,-0.9347826086956521,0.13043478260869584
centralized_low,Centralized low,single,16,10,0.09375,0.0736569563735987,0.390397235966569,0.28692562111611497,0.8125,0.1473139127471974,5e-05,7.68295371441074e-05,0.32653604154335036,0.09769880917426872,13.11146736915362,1.1990850526857182,22.152072501436624,1.7749547482023347,8.020719966720803,1.2054110576016515,0.2343479063274377,0.03349030853494551,4.2,1.2292725943057183,0.5547043624251387,0.10906437744769466,0.2847222222222222,0.05391481494202865,0.09375,0.0736569563735987,0.1,0.07336173692357921,0.5,0.12842529172852035,0.04416666666666666,0.017590155776652846,11.3,1.0593499054713802,0.19375,0.046116549210788865,0.06458333333333333,0.14042552725093718,0.7120370370370371,0.12336493496445301,-0.2665101168136237,0.2795393372911763
centralized_low,Centralized low,single,32,10,0.28125,0.09432692852226475,0.8260048074784436,0.15850960508732242,0.4375,0.1886538570445295,0.00034687499999999996,0.00019345295329585663,0.5000230535770018,0.05010943268509457,1.2426734429495412,0.7186961402270695,6.038793325880951,1.2259647760526298,2.9004528760662387,1.0318260041874938,0.08744554886770961,0.03195011819669044,6.5,1.1785113019775793,0.7695869564286523,0.07974269706455829,0.3864919354838709,0.04242272059867241,0.28125,0.09432692852226475,0.159375,0.08261408357874314,0.50625,0.1070436048222094,0.05161290322580645,0.0077910627667685155,13.2,1.8737959096740262,0.21875,0.08333333333333333,0.2894791666666666,0.1280477691806055,0.6313102204309102,0.07399143393426053,-0.02076470896992317,0.1654658263276361
decentralized_high,Decentralized high,single,8,10,0.02715,0.02862350190160371,0.11113925473615378,0.11365331001537207,0.9456999999999999,0.057247003803207415,0.05431250000000001,0.057254222612349255,0.04259065578554162,0.03308965239088623,89.73844214200422,6.214850076970108,99.7394421419995,6.21485007696835,45.784327760180894,0.505971339510445,0.6167758195943065,0.007275011942440541,3.7,0.48304589153964794,0.5685463540765221,0.09803148394879896,0.33095238095238094,0.0485361423854624,0.3875,0.1712900399257872,0.0,0.0,0.6125,0.12430361575146916,0.03928571428571428,0.042757821419209446,6.9,1.1972189997378646,0.225,0.07905694150420949,0.0,0.0,0.75,0.18633899812498245,-0.8836363636363636,0.17702780283109945
decentralized_high,Decentralized high,single,16,10,0.026356250000000005,0.0174826315099841,0.13213090696475133,0.08234072571030282,0.9472875000000002,0.03496526301996818,0.052718749999999995,0.03498975854625179,0.14449183221499207,0.055433265336641876,75.24904205385633,8.25202080787977,85.19233139082466,8.306723832518372,36.23577342573626,1.4678317902240416,0.4885561802613738,0.016437244922339413,4.0,0.4714045207910317,0.5645558744977501,0.06479873050027112,0.2975,0.04189136941275278,0.25,0.10622957319984969,0.00625,0.01976423537605237,0.5,0.12842529172852035,0.04416666666666666,0.017590155776652846,11.3,1.0593499054713802,0.19375,0.046116549210788865,0.06458333333333333,0.14042552725093718,0.8488888888888889,0.09614660730375223,-0.048516612375632734,0.6740981020533933
decentralized_high,Decentralized high,single,32,10,0.03969375,0.05257075424025119,0.19155432070824308,0.22505572390308987,0.9206125000000001,0.10514150848050238,0.00443125,0.007376424062135015,0.36284843987980364,0.06254094520978566,36.06630770679376,3.2651951818136364,45.43815052896501,3.1983911334427164,18.108090858470586,2.8447716805623804,0.24702973572076692,0.036684277725135744,3.9,1.1005049346146119,0.4695370455063195,0.07130720885850078,0.2290994623655914,0.03232713943027281,0.046875,0.05362307365097396,0.05625,0.046116549210788865,0.50625,0.1070436048222094,0.05161290322580645,0.0077910627667685155,13.2,1.8737959096740262,0.21875,0.08333333333333333,0.2894791666666666,0.1280477691806055,0.7564770861322586,0.05205300298406224,-0.03936098893781163,0.1440507425124196
patchy_high,Patchy high,single,8,10,0.023649999999999997,0.019127478052965233,0.09963274155021483,0.07966363823484887,0.9526999999999999,0.038254956105930486,0.0473375,0.03829395849144411,0.04942467445708611,0.035521917128192276,89.63742314609954,5.78368031680756,99.63842314609472,5.783680316806194,45.97238195296758,0.6201417718994708,0.6149529408527511,0.008285363378302478,3.7,0.48304589153964794,0.5697567459742443,0.0801700591894205,0.33809523809523806,0.03731002943981957,0.4125,0.15645819462932156,0.0,0.0,0.6125,0.12430361575146916,0.03928571428571428,0.042757821419209446,6.9,1.1972189997378646,0.225,0.07905694150420949,0.0,0.0,0.75,0.26787918780535985,-0.8545454545454545,0.19011378353161373
patchy_high,Patchy high,single,16,10,0.0429625,0.026604014943446243,0.211265960055743,0.12530854875457118,0.9140750000000001,0.053208029886892494,0.06091875,0.03770839145943955,0.1468760787680271,0.05334524189105948,74.70776791770382,6.849354794965648,84.67826354769998,6.874533220881372,36.9354071779319,0.8616428412542269,0.4927258681984103,0.011573800510050705,4.2,0.4216370213557839,0.6018186855362131,0.04014726265948315,0.3177777777777778,0.02700149871367579,0.28125,0.09432692852226475,0.01875,0.030190368221227993,0.5,0.12842529172852035,0.04416666666666666,0.017590155776652846,11.3,1.0593499054713802,0.19375,0.046116549210788865,0.06458333333333333,0.14042552725093718,0.8062962962962963,0.12634642935332122,-0.08485539883844964,0.6082904004596325
patchy_high,Patchy high,single,32,10,0.048634375,0.06525490225105803,0.22466794895812997,0.241282160921859,0.9027312500000001,0.13050980450211608,0.0098,0.011887394847063842,0.3576066297426638,0.057692905979968886,37.213608959783656,3.569004585390783,46.60929604077451,3.6044763897947414,18.973880742468154,2.472341972610346,0.2520694039467995,0.03363254693200883,4.1,1.1972189997378646,0.4969046364638071,0.09868696922379278,0.240994623655914,0.04605791423999176,0.0625,0.07216878364870322,0.0625,0.04658474953124562,0.50625,0.1070436048222094,0.05161290322580645,0.0077910627667685155,13.2,1.8737959096740262,0.21875,0.08333333333333333,0.2894791666666666,0.1280477691806055,0.7538840871771907,0.06766231386489738,-0.032180289812972426,0.16493363820539686
uniform_high,Uniform high,single,8,10,0.0199375,0.012858234769550947,0.08342927220142524,0.05149807328116848,0.960125,0.025716469539101894,0.03985,0.025665029709704214,0.0421881425781233,0.03499623409209846,90.27684176450902,5.5886658025409925,100.27784176450416,5.588665802539556,45.88338416732972,0.6789344561498708,0.6117784555643964,0.009052459415331665,3.7,0.48304589153964794,0.5642982290404643,0.086303417532354,0.3392857142857143,0.04602148216167938,0.4375,0.19764235376052372,0.0125,0.03952847075210474,0.6125,0.12430361575146916,0.03928571428571428,0.042757821419209446,6.9,1.1972189997378646,0.225,0.07905694150420949,0.0,0.0,0.8095238095238095,0.17817416127494953,-0.6785714285714286,0.47200541908569066
uniform_high,Uniform high,single,16,10,0.03296249999999999,0.018224135019863693,0.16228712885826005,0.08409859284808947,0.9340750000000002,0.036448270039727386,0.06595625,0.03646591647327832,0.14089881203715438,0.05141319079804615,75.07094899460877,7.43086063079629,85.02710125854814,7.463466634811088,36.82304950113827,0.892192391526236,0.49097399334851033,0.011895898553683134,4.0,0.4714045207910317,0.586323334947139,0.05369356500929124,0.31805555555555554,0.02299020188506506,0.3125,0.09771699499632146,0.00625,0.01976423537605237,0.5,0.12842529172852035,0.04416666666666666,0.017590155776652846,11.3,1.0593499054713802,0.19375,0.046116549210788865,0.06458333333333333,0.14042552725093718,0.8601851851851853,0.10985660104782702,-0.059372109372109426,0.6696979342297095
uniform_high,Uniform high,single,32,10,0.035490625,0.04936016402019643,0.1751472523889772,0.21472822200056055,0.92901875,0.09872032804039287,0.002259375,0.004810787258353761,0.3578079914331514,0.05969315156492553,36.8785284981543,3.363182513049982,46.28370220217295,3.411802475640882,18.56843645709956,2.56879428919272,0.24757915276132744,0.03425059052256959,3.9,1.1005049346146119,0.46691097998509934,0.07440373556200398,0.2274193548387097,0.033440771377524554,0.040625,0.04896941363976316,0.059375,0.045285552331842,0.50625,0.1070436048222094,0.05161290322580645,0.0077910627667685155,13.2,1.8737959096740262,0.21875,0.08333333333333333,0.2894791666666666,0.1280477691806055,0.7683879185948153,0.05052401525939987,-0.03760957226609631,0.1259676112798312
