scenario,scenario_label,scenario_group,population,replicate,cooperation_rate,collective_action_entropy,collective_order,switch_rate,wealth_gini,mean_welfare,mean_wealth,total_resource,mean_resource_fraction,unique_policy_count,policy_entropy,policy_hamming_mean,policy_cooperate_scarce,policy_cooperate_moderate,policy_cooperate_abundant,network_density,network_components,largest_component_fraction,network_clustering,network_policy_similarity,policy_assortativity
split_high_low,High patchy + low fragmented split,mixed,8,1,0.012125,0.05272575099036085,0.97575,0.02425,0.292628417144552,59.789778510988654,69.79077851098577,32.13813869959299,0.6090647245849313,4,0.603759374819711,0.33333333333333337,0.25,0.0,0.5,0.07142857142857142,6,0.25,0.0,0.6666666666666667,-1.0
split_high_low,High patchy + low fragmented split,mixed,16,1,0.0,0.0,1.0,0.0,0.39365901877539483,45.886372809710075,55.46404524873237,27.57486269067823,0.4889658838715641,5,0.591465823449233,0.2861111111111111,0.125,0.0625,0.375,0.075,10,0.25,0.3958333333333333,0.6666666666666666,-0.11111111111111116
split_high_low,High patchy + low fragmented split,mixed,32,1,0.00109375,0.007021781350945012,0.9978125,0.0021875,0.5543618583617598,27.80226206565294,35.34802012894528,17.94320187842165,0.30107192400353133,5,0.6274051602574867,0.30443548387096775,0.03125,0.21875,0.40625,0.06653225806451613,12,0.1875,0.546875,0.6767676767676768,-0.18705035971223016
decentralized_high_in_low,Decentralized high islands + low background,mixed,8,1,0.041625,0.16804197377428282,0.91675,0.08325,0.05662655881603227,84.71154289913913,94.7125428991363,38.09209754844842,0.717576022150769,4,0.6352130207431889,0.36904761904761907,0.375,0.0,0.5,0.07142857142857142,6,0.25,0.0,0.6666666666666667,0.0
decentralized_high_in_low,Decentralized high islands + low background,mixed,16,1,0.0,0.0,1.0,0.0,0.17699589852246658,67.90432515770276,77.90532515770123,32.736293142808364,0.6083473603775531,3,0.4685463540765222,0.24444444444444444,0.125,0.0,0.375,0.075,10,0.25,0.3958333333333333,0.7037037037037037,-0.35000000000000003
decentralized_high_in_low,Decentralized high islands + low background,mixed,32,1,0.0,0.0,1.0,3.125e-05,0.4088277241980585,35.35524379473839,44.825625414077976,22.10430513541784,0.41362182787754537,4,0.5247613651793578,0.2567204301075269,0.0,0.15625,0.40625,0.06653225806451613,12,0.1875,0.546875,0.7070707070707072,-0.21307011572498297
patchy_high_central_low,Patchy high + central low,mixed,8,2,0.0,0.0,1.0,0.0,0.0008387122135685663,96.61375000000254,106.6147499999959,41.33243897389354,0.6967688404555822,4,0.6352130207431889,0.36904761904761907,0.375,0.0,0.5,0.0,8,0.125,0.0,nan,nan
patchy_high_central_low,Patchy high + central low,mixed,16,2,0.0105625,0.056084911428034324,0.978875,0.021125,0.08599530794731473,86.39550041398249,96.39650041397707,36.30691789141695,0.5943087699949262,4,0.5880325518579721,0.30833333333333335,0.25,0.0,0.4375,0.03333333333333333,12,0.1875,0.0,0.8333333333333334,-0.3333333333333333
patchy_high_central_low,Patchy high + central low,mixed,32,2,0.0069375,0.044538155997422654,0.986125,0.013875,0.2935669393268438,43.498775837701224,53.46447692136655,19.80566469124975,0.30568881072025705,3,0.42493002220567133,0.21169354838709678,0.0625,0.0,0.46875,0.04233870967741935,15,0.15625,0.2708333333333333,0.8412698412698412,0.19230769230769237
central_high_patchy_low,Central high + patchy low,mixed,8,2,0.0,0.0,1.0,0.0,0.12457246520639667,73.49743063708569,83.49843063708539,32.79617945768357,0.6495309415581082,3,0.4685463540765222,0.2738095238095238,0.125,0.0,0.5,0.0,8,0.125,0.0,nan,nan
