scenario,population,replicate,phase,time,cooperation_rate,collective_action_entropy,collective_order,switch_rate,wealth_gini,mean_welfare,mean_wealth,total_resource,mean_resource_fraction
patchy_high_central_low,8,0,training,1,0.75,0.8112781244591328,0.5,0.0,0.5192307692307696,1.0045,0.0065,30.814444460886374,0.5089602100074857
patchy_high_central_low,8,0,training,50,0.25,0.8112781244591328,0.5,0.25,0.1311446629213484,1.6120000000000005,0.7120000000000003,40.750674245081576,0.6947850173462301
patchy_high_central_low,8,0,training,100,0.25,0.8112781244591328,0.5,0.25,0.10144421745251275,2.3104076692288276,1.5104076692288229,41.719638247457034,0.7141548312617213
patchy_high_central_low,8,0,training,150,0.25,0.8112781244591328,0.5,0.625,0.09728737710039592,2.9855522978979514,2.285552297897938,41.808123799225115,0.7163542816047916
patchy_high_central_low,8,0,training,200,0.125,0.5435644431995964,0.75,0.25,0.09509604551331252,3.662804960266861,3.062804960266839,41.82024273230667,0.7165654187241648
patchy_high_central_low,8,0,training,250,0.125,0.5435644431995964,0.75,0.5,0.0952036498757689,4.3345087293056395,3.834508729305612,41.8488379873909,0.7172479298746061
patchy_high_central_low,8,0,training,300,0.375,0.954434002924965,0.25,0.5,0.09752183449172902,5.019209626542093,4.619209626542055,41.794445768363694,0.7163672082724334
patchy_high_central_low,8,0,training,350,0.25,0.8112781244591328,0.5,0.375,0.09682384838438285,5.687439216766081,5.387439216766034,41.8478100354194,0.7172732304065726
patchy_high_central_low,8,0,training,400,0.0,0.0,1.0,0.25,0.09678573953345015,6.362479169648599,6.162479169648542,41.830994998888784,0.7167363260760754
patchy_high_central_low,8,0,training,450,0.125,0.5435644431995964,0.75,0.125,0.09702045517568991,7.041927935335368,6.941927935335306,41.79654634359143,0.7165805269135338
patchy_high_central_low,8,0,training,500,0.125,0.5435644431995964,0.75,0.625,0.09701672030635455,7.707752810863454,7.7077528108634,41.86793192524203,0.7172250635746841
