scenario,population,replicate,social_mode,time,low_extraction_rate,collective_order,action_entropy,mean_resource_fraction,total_resource,mean_reserve_welfare,mean_need_satisfaction,deprivation_rate,mean_metabolic_shortfall,mean_energy,wealth_gini,mean_wealth,mean_social_low_fraction,mean_epsilon
patchy_high,8,0,fixed,20,0.25,0.5,0.8112781244591328,0.561231497563263,42.03570705898378,0.998,1.0,0.0,0.0,0.998,0.16880445304937086,0.25825,0.3125,0.19800947156046594
patchy_high,8,0,fixed,40,0.25,0.5,0.8112781244591328,0.5917299611359853,44.29899186791912,0.998,1.0,0.0,0.0,0.998,0.10280424426158508,0.5772500000000002,0.15625,0.19603875413827485
patchy_high,8,0,fixed,60,0.375,0.25,0.954434002924965,0.6066929640173657,45.438544621486976,0.998,1.0,0.0,0.0,0.998,0.08016457728819404,0.8814239402095906,0.375,0.1940876505614596
patchy_high,8,0,fixed,80,0.25,0.5,0.8112781244591328,0.614717969216442,46.04542905669019,0.998,1.0,0.0,0.0,0.998,0.08002853107954944,1.1678718060112363,0.25,0.19215596562043488
patchy_high,8,0,fixed,100,0.375,0.25,0.954434002924965,0.6170415749517407,46.235172921765205,0.998,1.0,0.0,0.0,0.998,0.08435202634403693,1.4623860113101952,0.28125,0.19024350604846688
patchy_high,8,0,fixed,120,0.0,1.0,0.0,0.619653766734093,46.44466725240358,0.998,1.0,0.0,0.0,0.998,0.08651471646919529,1.7316302291244328,0.0,0.18835008050233615
patchy_high,8,0,fixed,140,0.125,0.75,0.5435644431995964,0.6201332646095886,46.46611542751749,0.998,1.0,0.0,0.0,0.998,0.09485132422174614,2.013848530720059,0.15625,0.186475499543194
patchy_high,8,0,fixed,160,0.125,0.75,0.5435644431995964,0.6216750856712882,46.57763412031939,0.998,1.0,0.0,0.0,0.998,0.0987332113298478,2.2848223161942784,0.0625,0.1846195756176088
patchy_high,8,0,fixed,180,0.375,0.25,0.954434002924965,0.6234775442107593,46.72239565797838,0.998,1.0,0.0,0.0,0.998,0.10156631368004154,2.5483871542987893,0.375,0.18278212303880104
patchy_high,8,0,fixed,200,0.25,0.5,0.8112781244591328,0.6225967449370112,46.644647416481824,0.998,1.0,0.0,0.0,0.998,0.10398934569918294,2.837327081426194,0.25,0.1809629579680653
patchy_high,8,0,fixed,220,0.0,1.0,0.0,0.6224622877002454,46.639340473664454,0.998,1.0,0.0,0.0,0.998,0.10619907562050646,3.1153126669325095,0.0,0.1791618983963771
patchy_high,8,0,fixed,240,0.125,0.75,0.5435644431995964,0.6216714617921774,46.58257311036217,0.998,1.0,0.0,0.0,0.998,0.10897432953012931,3.398726657171845,0.15625,0.1773787641261826
patchy_high,8,0,fixed,260,0.125,0.75,0.5435644431995964,0.6211672698720812,46.54916880176349,0.998,1.0,0.0,0.0,0.998,0.11169413289052588,3.6803471398989354,0.15625,0.17561337675336977
patchy_high,8,0,fixed,280,0.125,0.75,0.5435644431995964,0.6213611091645507,46.55522412023182,0.998,1.0,0.0,0.0,0.998,0.11447488616380253,3.959375139830944,0.125,0.1738655596494188
patchy_high,8,0,fixed,300,0.125,0.75,0.5435644431995964,0.6216809077024056,46.56761871811384,0.998,1.0,0.0,0.0,0.998,0.11707065420315055,4.239303422411113,0.15625,0.17213513794373045
