scenario,population,replicate,social_mode,rewiring,strategy,evaluation_mode,time,low_extraction_rate,collective_order,action_entropy,mean_resource_fraction,total_resource,mean_reserve_welfare,mean_need_satisfaction,deprivation_rate,mean_metabolic_shortfall,mean_energy,wealth_gini,mean_wealth,mean_social_low_fraction,visibility_gini,max_visibility_share,zero_visibility_fraction,social_perception_error,signed_perception_bias,majority_mismatch_rate,degree_action_correlation
uniform_high,8,0,fixed,prediction_error,q_learning,continuation,1,0.0,1.0,0.0,0.6032577450442315,45.24433087831735,0.998,1.0,0.0,0.0,0.998,0.09633440919150238,7.985379000814343,0.0,0.2109375,0.21875,0.0,0.0,0.0,0.0,nan
uniform_high,8,0,fixed,prediction_error,q_learning,continuation,20,0.0,1.0,0.0,0.6015062602885717,45.11296952164288,0.998,1.0,0.0,0.0,0.998,0.09717093444109137,8.303639158630006,0.0,0.2109375,0.21875,0.0,0.0,0.0,0.0,nan
uniform_high,8,0,fixed,prediction_error,q_learning,continuation,40,0.0,1.0,0.0,0.6006252087474139,45.046890656056036,0.998,1.0,0.0,0.0,0.998,0.09825255955489065,8.630822011994443,0.0,0.2109375,0.21875,0.0,0.0,0.0,0.0,nan
uniform_high,8,0,fixed,prediction_error,q_learning,continuation,60,0.0,1.0,0.0,0.6000779426038755,45.00584569529065,0.998,1.0,0.0,0.0,0.998,0.09932822011364673,8.956799793375557,0.0,0.2109375,0.21875,0.0,0.0,0.0,0.0,nan
uniform_high,8,0,fixed,prediction_error,q_learning,continuation,80,0.0,1.0,0.0,0.5997463656460914,44.98097742345686,0.998,1.0,0.0,0.0,0.998,0.10036307384643917,9.282194759936175,0.0,0.2109375,0.21875,0.0,0.0,0.0,0.0,nan
uniform_high,8,0,fixed,prediction_error,q_learning,continuation,100,0.0,1.0,0.0,0.599548485535492,44.96613641516192,0.998,1.0,0.0,0.0,0.998,0.10134538398667359,9.607287651537076,0.0,0.2109375,0.21875,0.0,0.0,0.0,0.0,nan
uniform_high,8,0,fixed,prediction_error,q_learning,fresh_reset,1,0.125,0.75,0.5435644431995964,0.5031318631111111,37.734889733333326,0.998,1.0,0.0,0.0,0.998,0.1109154929577465,0.017750000000000002,0.09375,0.2109375,0.21875,0.0,0.11160714285714285,-0.031249999999999993,0.0,0.2390457218668787
uniform_high,8,0,fixed,prediction_error,q_learning,fresh_reset,20,0.125,0.75,0.5435644431995964,0.5509242368053062,41.31931776039796,0.998,1.0,0.0,0.0,0.998,0.10933098591549273,0.3550000000000001,0.125,0.2109375,0.21875,0.0,0.10714285714285715,6.938893903907228e-18,0.0,0.0
uniform_high,8,0,fixed,prediction_error,q_learning,fresh_reset,40,0.125,0.75,0.5435644431995964,0.5784127712305445,43.38095784229084,0.998,1.0,0.0,0.0,0.998,0.11497036484032663,0.7045890278491145,0.125,0.2109375,0.21875,0.0,0.10714285714285715,6.938893903907228e-18,0.0,0.0
uniform_high,8,0,fixed,prediction_error,q_learning,fresh_reset,60,0.125,0.75,0.5435644431995964,0.5937115953556288,44.52836965167216,0.998,1.0,0.0,0.0,0.998,0.14131519329908415,1.014767138949479,0.125,0.2109375,0.21875,0.0,0.10714285714285715,6.938893903907228e-18,0.0,0.0
uniform_high,8,0,fixed,prediction_error,q_learning,fresh_reset,80,0.125,0.75,0.5435644431995964,0.6025948304861972,45.194612286464796,0.998,1.0,0.0,0.0,0.998,0.16089004278186336,1.305242603017267,0.125,0.2109375,0.21875,0.0,0.10714285714285715,6.938893903907228e-18,0.0,0.0
uniform_high,8,0,fixed,prediction_error,q_learning,fresh_reset,100,0.125,0.75,0.5435644431995964,0.6074945745097236,45.56209308822927,0.998,1.0,0.0,0.0,0.998,0.17385313203683483,1.5926780816034478,0.125,0.2109375,0.21875,0.0,0.10714285714285715,6.938893903907228e-18,0.0,0.0
uniform_high,8,0,fixed,prediction_error,always_low,fresh_reset,1,1.0,1.0,0.0,0.5047898311111112,37.859237333333326,0.998,1.0,0.0,0.0,0.998,0.0,0.002,1.0,0.2109375,0.21875,0.0,0.0,0.0,0.0,nan
uniform_high,8,0,fixed,prediction_error,always_low,fresh_reset,20,1.0,1.0,0.0,0.5811794848748978,43.58846136561735,0.998,1.0,0.0,0.0,0.998,0.0,0.04000000000000002,1.0,0.2109375,0.21875,0.0,0.0,0.0,0.0,nan
uniform_high,8,0,fixed,prediction_error,always_low,fresh_reset,40,1.0,1.0,0.0,0.632698085222552,47.45235639169141,0.998,1.0,0.0,0.0,0.998,0.0,0.08000000000000006,1.0,0.2109375,0.21875,0.0,0.0,0.0,0.0,nan
uniform_high,8,0,fixed,prediction_error,always_low,fresh_reset,60,1.0,1.0,0.0,0.6620090582985608,49.650679372392055,0.998,1.0,0.0,0.0,0.998,0.0,0.12000000000000009,1.0,0.2109375,0.21875,0.0,0.0,0.0,0.0,nan
uniform_high,8,0,fixed,prediction_error,always_low,fresh_reset,80,1.0,1.0,0.0,0.6776545415309717,50.82409061482287,0.998,1.0,0.0,0.0,0.998,0.0,0.16000000000000011,1.0,0.2109375,0.21875,0.0,0.0,0.0,0.0,nan
uniform_high,8,0,fixed,prediction_error,always_low,fresh_reset,100,1.0,1.0,0.0,0.6857218687661859,51.42914015746394,0.998,1.0,0.0,0.0,0.998,0.0,0.20000000000000015,1.0,0.2109375,0.21875,0.0,0.0,0.0,0.0,nan
uniform_high,8,0,fixed,prediction_error,always_high,fresh_reset,1,0.0,1.0,0.0,0.5028951111111112,37.71713333333333,0.998,1.0,0.0,0.0,0.998,0.0,0.02,0.0,0.2109375,0.21875,0.0,0.0,0.0,0.0,nan
uniform_high,8,0,fixed,prediction_error,always_high,fresh_reset,20,0.0,1.0,0.0,0.5461200991142932,40.95900743357199,0.998,1.0,0.0,0.0,0.998,0.0,0.4000000000000001,0.0,0.2109375,0.21875,0.0,0.0,0.0,0.0,nan
uniform_high,8,0,fixed,prediction_error,always_high,fresh_reset,40,0.0,1.0,0.0,0.5696748368055369,42.72561276041527,0.998,1.0,0.0,0.0,0.998,0.009004271081980875,0.7898344628870008,0.0,0.2109375,0.21875,0.0,0.0,0.0,0.0,nan
uniform_high,8,0,fixed,prediction_error,always_high,fresh_reset,60,0.0,1.0,0.0,0.5829186660256668,43.718899951925,0.998,1.0,0.0,0.0,0.998,0.03737588259112967,1.1338586932972938,0.0,0.2109375,0.21875,0.0,0.0,0.0,0.0,nan
uniform_high,8,0,fixed,prediction_error,always_high,fresh_reset,80,0.0,1.0,0.0,0.5904932412297114,44.28699309222836,0.998,1.0,0.0,0.0,0.998,0.05586830644318197,1.45977584872819,0.0,0.2109375,0.21875,0.0,0.0,0.0,0.0,nan
uniform_high,8,0,fixed,prediction_error,always_high,fresh_reset,100,0.0,1.0,0.0,0.5945955099834472,44.59466324875853,0.998,1.0,0.0,0.0,0.998,0.06879543660428533,1.7833981985685803,0.0,0.2109375,0.21875,0.0,0.0,0.0,0.0,nan
uniform_high,8,0,fixed,prediction_error,random_50,fresh_reset,1,0.625,0.25,0.954434002924965,0.5040795751111112,37.80596813333332,0.998,1.0,0.0,0.0,0.998,0.4821428571428572,0.008749999999999999,0.5,0.2109375,0.21875,0.0,0.1339285714285714,-0.12499999999999999,0.5,0.6531972647421808
uniform_high,8,0,fixed,prediction_error,random_50,fresh_reset,20,0.75,0.5,0.8112781244591328,0.5641601252181876,42.31200939136407,0.998,1.0,0.0,0.0,0.998,0.16787305122494423,0.22450000000000003,0.65625,0.2109375,0.21875,0.0,0.14732142857142858,-0.09375,0.0,0.5477225575051662
uniform_high,8,0,fixed,prediction_error,random_50,fresh_reset,40,0.5,0.0,1.0,0.6024064856588504,45.180486424413765,0.998,1.0,0.0,0.0,0.998,0.08672376873661691,0.46700000000000014,0.46875,0.2109375,0.21875,0.0,0.15625,-0.031249999999999972,0.2,0.15811388300841894
